"","20210113_30102534541221-01_P0091-10 LUNG D3 NMC2 30ug.ml_10.RCC","20210113_30102534541221-01_P0091-7 LUNG D3 NMC2 100ug.ml_07.RCC","20210113_30102534541221-01_P0091-7 LUNG D3 NMC2 100ug.ml_07.RCC","20210113_30102534541221-01_P0091-7 LUNG D3 NMC2 100ug.ml_07.RCC","20210108_P0090_D3_NMC2_30ugml(1).RCC","20210108_P0090_D3_NMC2_100ugml(1).RCC","20210108_P0090_D0_Control(2).RCC","20210108_P0090_D0_Control(1).RCC","20210108_P0090_D0_Control(3).RCC","20210112_30102534301221-01_P0090-10 D3 NMC2 30ug]mL_01.RCC","20210112_30102534301221-01_P0090-10 D3 NMC2 30ug]mL_01.RCC","20210112_30102534301221-01_P0090-10 D3 NMC2 30ug]mL_01.RCC","20210112_30102534301221-01_P0090-10 D3 NMC2 30ug]mL_01.RCC","20210113_30102534541221-01_P0091-7 LUNG D3 NMC2 100ug.ml_07.RCC","20210112_30102534301221-01_P0090-10 D3 NMC2 30ug]mL_01.RCC","20210112_30102534301221-01_P0090-10 D3 NMC2 30ug]mL_01.RCC","20210112_30102534301221-01_P0090-10 D3 NMC2 30ug]mL_01.RCC","20210112_30102534301221-01_P0090-10 D3 NMC2 30ug]mL_01.RCC","20210112_30102534301221-01_P0090-10 D3 NMC2 30ug]mL_01.RCC","20210112_30102534301221-01_P0090-10 D3 NMC2 30ug]mL_01.RCC","20210112_30102534301221-01_P0090-10 D3 NMC2 30ug]mL_01.RCC","20210112_30102534301221-01_P0090-10 D3 NMC2 30ug]mL_01.RCC","20210108_P0090_D3_IgG1_100ugml(1).RCC","20210108_P0090_D3_IFNg_100ngml(1).RCC","20210113_30102534541221-01_P0091-7 LUNG D3 NMC2 100ug.ml_07.RCC","20210108_P0090_D3_IgG1_100ugml(1).RCC","20210108_P0090_D3_NMC2_100ugml(1).RCC","20210108_P0090_D3_NMC2_30ugml(1).RCC","20210108_P0090_D3_IFNg_100ngml(1).RCC","20210108_P0090_D3_IgG1_100ugml(1).RCC"
"NLRC5 - mRNA",41,38,32,43,35,28,44,38,37,11,16,10,11,16,27,17,5,16,10,24,8,18,24,22,27,30,29,16,24,19
"CCL19 - mRNA",57,37,36,42,41,33,39,44,34,15,24,18,20,15,23,17,6,20,13,12,19,14,28,28,35,35,26,33,25,27
"NEG_F(0) - mRNA",53,38,29,47,39,23,32,24,33,9,10,14,9,20,20,12,3,15,12,12,17,17,24,29,32,33,25,29,34,22
"HSD11B1 - mRNA",54,38,29,30,21,46,25,29,23,9,17,22,11,15,22,12,6,15,9,12,14,13,22,25,31,23,19,29,27,15
"COL17A1 - mRNA",53,40,32,22,22,34,25,31,33,18,15,18,11,9,21,9,8,11,8,16,16,19,28,32,38,27,29,25,24,23
"COL11A1 - mRNA",54,40,29,26,35,37,25,34,30,14,13,14,7,14,18,18,4,18,13,13,9,15,22,35,29,23,35,29,26,25
"BRCA1 - mRNA",49,39,29,28,28,33,25,42,30,17,20,21,11,12,22,11,3,18,13,7,9,16,28,35,35,21,31,20,26,18
"IHH - mRNA",48,29,24,30,26,38,39,33,31,9,13,16,15,13,21,14,6,18,5,19,14,10,34,37,38,35,27,26,20,16
"SIGLEC1 - mRNA",51,29,28,27,28,41,49,45,31,18,14,20,12,15,21,20,8,15,9,17,16,15,27,43,40,18,15,25,14,28
"IL18R1 - mRNA",64,27,26,27,41,44,52,42,40,12,14,21,10,24,6,12,9,13,12,15,20,17,24,35,37,35,24,33,30,14
"CD247 - mRNA",52,44,25,28,26,40,35,37,39,10,7,12,10,24,14,7,1,10,5,11,27,12,27,33,35,43,29,40,31,17
"CD5 - mRNA",65,53,27,24,30,30,45,37,44,10,11,14,10,25,10,5,6,17,9,15,18,10,27,31,41,29,39,27,27,26
"P2RY13 - mRNA",46,33,21,25,25,43,44,31,41,10,4,12,7,20,6,8,2,10,12,20,14,11,40,26,56,33,21,34,20,15
"XCL1/2 - mRNA",47,38,29,36,25,40,48,38,42,8,13,12,9,23,17,9,1,8,14,15,13,5,34,27,43,28,20,36,10,15
"KLRD1 - mRNA",42,48,28,30,21,50,54,34,28,7,13,11,7,24,8,9,7,6,6,21,11,6,29,28,39,27,21,30,15,13
"GIMAP6 - mRNA",40,34,36,19,22,39,49,50,42,15,15,16,8,11,22,14,4,17,17,17,13,12,28,28,30,28,16,36,21,20
"UBA7 - mRNA",33,41,35,22,30,29,46,47,48,11,14,20,12,15,19,13,7,13,12,14,13,14,27,27,32,34,27,44,26,20
"PRKX - mRNA",45,50,39,30,37,40,37,32,38,8,11,17,10,13,15,8,3,16,14,22,15,12,32,34,37,27,26,38,16,19
"IL6R - mRNA",43,45,40,31,26,31,40,50,47,13,15,17,8,16,6,13,7,12,10,15,9,20,34,29,43,28,30,22,17,17
"HDAC3 - mRNA",30,20,22,19,28,52,47,49,36,9,4,9,8,13,5,10,2,12,12,24,12,10,77,23,21,36,35,34,18,17
"TNFRSF10B - mRNA",29,25,21,17,18,37,43,47,41,9,8,10,2,6,14,7,3,11,7,17,10,8,66,17,15,28,18,28,15,20
"CD80 - mRNA",29,37,23,24,26,48,37,26,24,11,15,22,9,8,16,11,2,18,15,39,10,13,65,22,19,25,16,53,16,13
"RNLS - mRNA",19,23,29,22,35,56,53,28,38,10,15,11,5,13,9,7,7,15,7,25,9,7,58,27,10,35,25,51,12,17
"CD58 - mRNA",22,19,26,29,33,56,35,21,27,16,9,7,11,9,13,10,1,9,10,33,13,5,64,18,9,33,27,51,24,22
"THBD - mRNA",21,14,29,21,27,50,25,38,31,10,13,3,3,5,3,16,5,9,6,20,9,4,59,8,12,36,22,56,20,13
"TRIM21 - mRNA",17,12,25,34,33,61,34,34,38,12,8,5,4,5,6,9,6,5,10,23,7,5,66,19,9,33,15,52,13,6
"EGFR - mRNA",10,8,36,23,19,38,34,33,29,11,12,8,6,2,8,8,6,11,9,30,2,15,67,17,6,27,13,36,13,7
"ANLN - mRNA",14,15,26,29,32,45,19,24,18,9,9,8,8,8,16,6,2,8,9,27,13,6,62,23,12,20,29,41,7,12
"DLL1 - mRNA",21,14,26,20,15,48,27,17,20,8,12,8,4,7,6,7,3,7,9,21,6,2,58,12,15,19,17,43,15,5
"MKI67 - mRNA",19,11,26,26,28,52,21,18,20,7,8,9,1,10,5,5,1,10,10,23,13,11,69,17,20,16,15,47,13,7
"PIK3CG - mRNA",38,21,30,50,42,51,64,36,42,16,15,6,9,17,17,6,5,13,15,38,13,8,47,23,25,24,17,49,20,22
"TNFSF18 - mRNA",39,28,33,51,36,49,41,17,17,20,15,15,8,9,12,3,3,14,13,23,14,13,48,26,21,23,14,50,17,16
"MTOR - mRNA",37,17,34,25,39,59,44,40,32,17,12,6,5,7,9,9,4,7,13,28,15,14,55,19,15,25,22,31,16,19
"APH1B - mRNA",37,29,34,25,33,48,39,36,27,8,11,14,10,10,5,14,3,11,13,26,13,12,61,20,24,37,18,45,20,13
"TNFSF13 - mRNA",39,23,31,37,27,42,43,41,19,18,13,12,4,8,10,10,5,14,10,30,10,19,51,22,17,24,20,41,10,14
"TAPBPL - mRNA",28,11,33,36,19,59,44,48,35,22,14,6,6,10,17,10,5,14,18,29,18,14,44,25,10,23,18,50,16,13
"TNFSF8 - mRNA",29,24,33,42,34,66,45,43,33,23,15,15,10,17,29,15,3,17,19,35,9,12,42,23,16,35,26,36,21,14
"ICAM2 - mRNA",25,16,40,28,23,67,63,47,43,12,16,14,10,9,8,8,1,10,11,44,11,9,44,13,27,17,19,39,14,13
"SYK - mRNA",29,19,24,23,22,48,50,39,36,12,13,13,7,8,5,7,3,14,9,50,9,6,44,12,15,32,16,36,15,19
"CXCL11 - mRNA",28,19,35,27,32,45,44,59,40,9,11,12,6,8,6,10,7,18,16,47,6,15,34,15,20,22,30,34,15,10
"CD86 - mRNA",24,32,35,37,31,52,56,51,30,10,14,8,5,7,15,13,1,12,17,32,9,16,57,24,16,37,18,40,12,14
"F2RL1 - mRNA",19,27,29,36,24,59,56,51,47,10,11,4,3,8,12,9,5,23,11,36,5,17,60,18,24,27,14,36,14,10
"PPARG - mRNA",29,22,35,32,24,53,52,35,40,13,11,8,5,11,15,9,3,14,10,43,4,19,54,15,15,27,19,42,10,10
"PTEN - mRNA",24,28,28,41,40,45,43,43,52,4,10,7,8,9,11,6,2,5,12,37,10,11,41,6,15,26,17,29,14,5
"HMGB1 - mRNA",30,20,16,46,27,55,39,34,40,8,11,5,7,9,16,14,7,9,16,26,13,12,52,14,18,30,14,33,13,14
"BRD3 - mRNA",16,21,27,36,32,60,35,29,38,15,13,10,7,7,18,10,2,10,12,41,18,14,53,20,20,24,15,44,16,9
"LILRB4 - mRNA",21,14,32,20,20,35,42,35,31,10,28,13,5,11,14,13,2,7,7,57,10,13,54,17,17,20,24,22,10,6
"PIK3R5 - mRNA",19,12,13,27,24,46,61,42,30,7,16,10,11,9,10,12,2,8,9,23,7,14,33,18,20,25,9,24,8,10
"TP53 - mRNA",24,18,23,28,25,39,57,46,41,10,6,6,10,12,13,9,2,9,8,29,8,6,45,15,25,28,11,28,7,11
"SREBF1 - mRNA",13,14,32,16,29,36,60,35,43,13,5,14,3,12,10,6,3,12,8,27,17,7,45,21,8,26,16,34,13,15
"STAT4 - mRNA",17,21,25,19,28,41,38,32,33,8,14,12,4,8,11,4,3,7,6,20,5,6,28,14,15,24,17,44,10,9
"BCL2 - mRNA",29,24,21,20,19,51,49,36,38,6,8,9,8,9,11,4,5,5,11,24,2,8,39,15,15,22,11,40,8,19
"TBP - mRNA",29,21,20,18,19,39,52,32,36,7,9,7,4,6,11,6,2,15,10,28,11,5,41,14,20,19,25,38,13,14
"UBE2C - mRNA",10,3,19,31,25,62,12,19,10,15,10,5,8,4,6,10,3,14,15,30,11,8,87,23,10,24,14,51,9,8
"IKBKG - mRNA",19,18,52,34,23,46,20,22,20,22,24,8,10,2,9,11,2,13,21,51,12,7,50,17,21,30,13,37,20,10
"FAM30A - mRNA",22,24,44,26,25,52,19,17,23,12,10,10,13,12,15,14,6,23,21,36,19,7,28,24,19,34,11,43,17,16
"BIRC5 - mRNA",25,28,40,25,28,36,15,22,20,6,7,9,7,6,9,9,1,11,13,33,7,15,56,19,18,29,39,41,13,18
"MAGEC1 - mRNA",22,32,44,33,19,38,28,21,15,16,11,10,8,15,13,7,1,15,11,30,9,5,40,24,13,17,30,30,18,12
"PNOC - mRNA",28,25,41,29,30,50,11,20,22,12,8,9,9,13,8,13,1,6,11,29,8,8,41,31,18,26,16,33,22,15
"LTB - mRNA",30,23,32,23,32,49,21,20,21,18,14,8,13,5,11,12,7,7,10,31,8,7,48,36,25,27,34,47,27,11
"IL12RB2 - mRNA",27,31,26,29,26,50,30,21,18,14,9,4,3,7,13,6,3,11,12,28,14,7,61,20,21,32,13,41,13,15
"APLNR - mRNA",26,26,29,32,32,56,15,23,11,12,16,6,10,14,16,9,2,14,15,31,8,8,54,23,26,24,18,49,16,16
"FCAR - mRNA",26,25,28,29,26,43,29,20,22,10,15,10,9,6,5,6,4,10,8,27,10,14,40,25,28,31,16,47,11,12
"FCRL2 - mRNA",22,24,41,35,27,59,24,23,20,5,10,11,5,10,10,15,1,10,11,34,8,12,48,19,19,25,17,46,16,10
"WNT5B - mRNA",18,18,32,32,20,54,22,18,15,8,10,8,4,8,5,9,1,13,15,34,10,5,44,20,18,29,18,47,12,16
"PRLR - mRNA",18,23,27,30,20,57,23,24,24,14,10,10,10,10,21,8,2,8,6,34,6,11,48,22,17,24,17,47,12,9
"TRAT1 - mRNA",23,24,32,25,27,55,17,25,22,8,7,5,8,9,15,8,2,8,12,25,7,8,38,15,22,26,14,42,10,16
"HDAC11 - mRNA",22,13,43,49,21,54,20,19,17,14,20,16,8,9,13,22,1,16,7,40,17,11,49,19,16,26,16,63,17,6
"NFAM1 - mRNA",29,26,39,45,27,52,34,30,19,10,13,6,11,9,15,12,2,12,13,33,12,14,61,22,22,29,24,60,16,17
"GZMM - mRNA",24,21,34,41,34,56,26,19,21,22,22,4,14,7,12,14,4,12,12,41,14,8,54,23,21,33,23,54,17,13
"WNT4 - mRNA",26,25,35,40,46,63,25,21,25,7,8,11,10,9,14,18,1,11,12,42,7,10,52,23,17,38,33,45,13,13
"BRIP1 - mRNA",33,26,24,38,36,52,21,19,21,7,7,16,10,6,19,15,6,14,16,39,13,15,40,31,22,35,35,35,23,10
"JAG2 - mRNA",20,20,20,35,24,52,24,29,19,13,20,7,9,9,15,12,6,12,13,35,11,8,40,15,13,32,20,48,10,12
"WNT2 - mRNA",29,25,25,33,28,61,19,11,17,14,19,15,13,6,11,14,6,9,6,29,12,15,36,24,12,27,23,46,13,15
"RPTOR - mRNA",30,20,36,26,32,58,24,20,28,13,15,13,12,7,8,9,5,19,13,33,13,10,53,14,12,28,17,36,14,12
"IL1RN - mRNA",32,18,31,44,28,48,21,23,25,23,18,7,7,7,21,12,7,14,12,31,15,11,55,21,14,22,27,32,16,14
"C7 - mRNA",43,36,31,27,33,56,21,17,15,22,12,9,6,15,14,15,4,20,10,21,10,12,46,20,19,30,16,38,11,20
"ADGRE1 - mRNA",33,28,17,33,15,55,26,16,19,7,5,10,8,15,15,18,4,7,11,19,10,5,42,20,12,26,15,37,13,10
"DEFB134 - mRNA",33,26,18,33,25,59,16,11,17,13,10,12,8,4,11,7,4,9,13,21,14,10,56,11,11,23,13,36,7,8
"IFNA1 - mRNA",28,25,27,41,29,54,23,15,18,7,7,7,5,14,14,11,1,13,12,14,9,8,49,18,29,24,20,21,20,11
"BRCA2 - mRNA",35,27,33,41,38,53,35,21,22,7,10,7,7,12,17,6,4,12,13,28,18,9,46,16,25,20,19,33,19,15
"PLA2G2A - mRNA",36,16,24,35,34,50,21,21,21,9,8,10,9,5,12,12,2,7,13,30,7,10,45,16,17,16,16,17,18,15
"FGF13 - mRNA",31,23,20,29,26,38,31,27,30,8,9,4,6,11,20,6,4,11,10,28,6,13,39,20,23,15,19,23,17,13
"CCL21 - mRNA",38,22,38,32,28,44,25,18,16,18,11,8,7,18,18,10,2,14,18,18,15,14,39,20,17,24,21,26,16,12
"FGF18 - mRNA",36,23,29,28,24,40,25,17,18,18,7,4,5,12,11,10,6,7,15,25,10,7,47,28,19,28,20,22,13,14
"CSF2RB - mRNA",34,28,28,34,27,45,23,19,26,10,10,3,5,6,17,9,4,13,10,27,9,8,41,16,19,31,20,29,23,20
"CD40LG - mRNA",42,23,36,31,25,38,19,21,25,11,9,11,9,9,13,9,4,15,5,24,12,8,30,16,21,28,16,29,14,14
"WNT5A - mRNA",25,8,27,28,25,55,24,21,17,4,12,5,8,7,10,4,2,14,10,30,13,10,47,26,16,27,9,67,12,11
"KIR3DL2 - mRNA",10,17,21,20,21,48,10,13,6,13,10,2,7,6,10,6,2,11,6,33,3,10,46,15,10,22,10,54,12,12
"ARNT2 - mRNA",21,15,22,32,16,53,11,19,18,7,9,6,7,10,7,10,1,13,13,22,8,7,28,14,11,18,8,53,8,9
"TNFRSF8 - mRNA",18,17,21,21,25,38,16,12,16,6,4,6,4,9,4,7,4,4,9,19,13,9,30,13,15,23,16,28,9,6
"CCNA1 - mRNA",10,16,17,23,20,49,9,7,5,11,8,7,4,5,5,9,3,9,10,23,8,13,34,12,15,16,12,34,7,8
"EGF - mRNA",22,16,21,28,29,51,19,15,15,11,10,7,9,4,11,12,4,6,9,26,4,7,42,14,11,12,9,39,11,8
"NOS2 - mRNA",21,13,32,28,23,45,11,16,9,14,15,11,8,2,4,10,1,6,11,28,6,4,36,18,10,23,11,37,12,11
"ZAP70 - mRNA",17,14,28,18,24,41,26,11,14,19,4,6,4,3,7,8,3,9,8,23,10,7,45,21,15,19,13,43,14,11
"KIF2C - mRNA",18,16,18,20,25,49,17,21,17,9,10,5,5,4,9,10,4,13,13,24,16,4,43,22,16,23,19,34,13,5
"CD27 - mRNA",13,14,22,27,24,49,25,19,18,10,8,7,3,9,8,3,1,9,8,22,8,7,35,18,12,26,17,36,12,5
"FZD9 - mRNA",30,28,21,29,18,41,16,18,21,7,16,5,2,14,9,7,3,10,11,17,10,11,39,13,26,27,20,29,10,24
"TAF3 - mRNA",31,22,16,28,19,36,19,26,17,12,5,4,3,6,14,14,3,8,13,25,11,10,28,11,27,24,12,27,9,12
"MAGEC2 - mRNA",16,23,24,33,15,37,11,16,13,15,9,8,4,10,7,9,1,11,14,27,14,12,38,15,26,21,18,29,12,9
"PRF1 - mRNA",32,21,14,24,22,38,20,26,18,12,7,9,7,2,8,3,3,6,13,22,11,7,44,18,14,25,14,40,10,9
"GZMH - mRNA",38,19,20,29,19,41,27,22,22,15,9,10,4,7,8,6,3,11,10,25,14,8,40,19,20,23,16,29,14,8
"CCL13 - mRNA",24,13,25,23,19,51,21,22,25,5,11,3,4,4,6,8,4,6,10,18,13,5,38,18,20,16,16,25,13,17
"NLRP3 - mRNA",27,10,19,19,28,54,19,21,19,12,8,5,5,7,9,11,1,7,11,22,9,7,41,14,14,23,18,30,4,13
"CEP55 - mRNA",25,15,18,20,15,44,12,19,14,4,4,5,2,4,13,9,1,10,7,18,7,6,44,11,13,14,17,30,11,8
"SOX10 - mRNA",26,15,23,22,12,44,19,14,15,12,7,10,10,9,9,6,2,12,5,16,3,5,44,16,13,23,6,24,17,10
"TNFRSF11A - mRNA",31,22,29,27,23,45,18,29,19,11,15,10,7,8,11,7,1,12,5,22,6,9,45,28,13,21,12,41,14,7
"TIGIT - mRNA",22,8,27,27,20,42,17,27,26,4,8,7,8,12,14,6,3,13,10,19,7,5,38,23,13,26,19,42,14,14
"CD274 - mRNA",24,25,36,24,23,50,17,17,16,9,22,6,9,11,18,8,4,9,9,26,7,8,32,26,14,30,21,38,12,10
"AXIN1 - mRNA",24,19,27,30,23,44,20,26,19,8,13,4,7,9,14,10,6,9,9,33,10,5,34,14,20,25,26,34,23,11
"C5AR1 - mRNA",19,23,26,26,26,46,23,25,21,14,10,5,10,6,7,10,2,15,16,35,8,5,38,25,15,28,15,21,17,6
"GHR - mRNA",14,14,21,34,31,40,24,23,14,11,10,6,4,8,8,8,1,13,9,37,6,3,41,19,19,30,12,34,14,3
"TWIST1 - mRNA",21,20,21,28,20,29,16,21,17,14,12,10,10,6,19,11,2,15,10,26,13,10,41,25,17,31,13,33,23,13
"PRR5 - mRNA",18,11,28,20,24,36,12,22,17,6,12,4,8,8,13,11,1,8,12,37,6,7,43,19,20,22,14,41,22,7
"HDC - mRNA",24,20,23,22,22,38,17,18,22,5,9,4,7,9,8,5,3,9,11,31,8,5,48,20,13,29,11,36,14,11
"P4HA2 - mRNA",35,29,17,24,53,72,53,48,53,12,10,18,4,11,25,22,5,10,6,20,28,14,141,38,19,73,41,95,14,28
"NT5E - mRNA",41,33,32,29,44,68,42,27,30,10,11,12,9,7,16,14,5,10,17,12,23,12,163,38,23,53,33,74,20,27
"CXCL6 - mRNA",31,20,35,41,75,94,50,34,18,15,21,9,9,10,9,21,7,14,10,45,23,15,91,29,14,95,128,132,16,23
"MMP9 - mRNA",43,45,39,35,40,60,42,38,32,22,28,21,26,21,13,15,13,18,17,78,31,28,96,34,44,87,97,72,24,37
"PVRIG - mRNA",67,76,59,67,62,99,59,50,50,42,44,39,17,43,35,35,9,30,35,55,26,27,108,50,50,79,55,58,36,33
"MYD88 - mRNA",57,52,63,45,51,71,96,84,75,37,40,39,18,27,32,25,11,27,18,65,19,35,70,48,35,40,40,46,34,32
"ITPK1 - mRNA",56,44,68,73,65,108,80,70,64,36,34,29,23,29,26,19,5,25,33,78,29,18,77,44,38,57,45,74,33,24
"TMUB2 - mRNA",48,51,64,70,53,97,86,59,62,34,28,20,18,19,22,19,10,31,22,56,28,19,79,48,39,57,45,72,35,30
"ICAM3 - mRNA",66,44,49,50,55,96,89,64,73,28,18,27,17,22,26,19,3,19,20,39,23,28,102,50,35,62,49,73,31,37
"ERCC3 - mRNA",76,52,51,66,66,97,100,67,76,34,26,33,22,23,20,23,14,30,26,53,28,28,104,43,35,63,44,83,26,34
"PFKM - mRNA",61,67,61,40,37,70,52,36,44,15,16,14,18,28,14,10,6,20,23,35,21,16,77,51,68,44,33,64,21,26
"BATF3 - mRNA",62,48,50,37,57,83,64,40,46,20,17,17,13,20,13,14,10,12,15,41,22,16,88,55,52,47,33,57,29,26
"MS4A1 - mRNA",73,63,55,59,62,87,43,50,31,12,13,10,21,24,12,21,1,17,24,39,27,22,71,47,44,59,33,70,35,29
"PPARGC1B - mRNA",83,67,54,56,45,76,58,42,34,16,14,15,12,31,21,14,7,16,33,42,17,22,87,59,63,64,52,53,38,24
"IL33 - mRNA",91,75,43,54,56,73,40,52,45,18,22,20,12,41,16,10,6,16,19,27,20,27,53,48,63,62,39,76,39,32
"CD19 - mRNA",70,71,55,71,50,81,39,50,42,21,20,27,13,50,27,14,5,14,23,46,19,23,79,50,59,55,42,69,18,30
"NEIL1 - mRNA",64,50,50,66,46,68,36,39,40,20,23,20,19,33,22,10,4,14,21,32,19,19,61,38,64,53,44,56,20,29
"FAM124B - mRNA",81,75,52,77,54,100,67,54,50,22,15,16,21,35,34,18,5,16,22,36,33,24,68,63,75,58,49,55,47,32
"OAS3 - mRNA",82,56,57,67,51,100,64,50,51,20,22,26,16,32,18,11,8,15,26,42,33,19,96,41,57,53,37,72,36,23
"BAD - mRNA",80,61,51,55,50,82,54,66,67,21,25,25,16,41,12,19,6,27,21,38,20,15,80,45,50,48,50,82,48,32
"RPS6KB1 - mRNA",62,65,47,70,57,112,68,57,44,15,17,18,11,37,15,14,7,10,20,58,17,14,83,33,39,50,28,53,21,23
"TBX21 - mRNA",55,42,66,59,48,100,46,41,27,28,13,29,21,29,16,18,10,29,30,50,19,20,80,40,42,46,55,59,31,39
"MSH2 - mRNA",46,52,37,47,40,93,82,52,69,15,17,14,7,22,10,12,9,15,20,34,23,24,95,19,42,48,51,70,26,26
"BMP2 - mRNA",51,50,41,51,41,78,61,60,65,27,22,21,14,28,13,8,22,15,22,61,20,44,93,39,47,49,37,77,28,18
"NFKB2 - mRNA",50,39,59,44,57,92,80,66,66,24,27,15,14,24,11,15,8,24,22,54,17,32,97,38,56,71,40,66,25,24
"MLH1 - mRNA",48,34,45,49,57,75,65,48,61,42,21,21,14,13,20,12,6,21,25,57,15,26,72,34,30,58,26,62,33,25
"GLS - mRNA",45,29,47,40,51,89,74,72,45,41,38,23,13,18,33,27,12,21,20,36,18,31,73,43,37,54,49,56,36,30
"PIAS4 - mRNA",47,42,40,29,51,92,81,45,43,20,30,19,12,15,25,23,4,25,16,40,14,23,61,38,39,46,37,67,13,29
"IL11 - mRNA",46,31,46,58,48,111,31,31,28,21,14,14,14,17,14,19,4,11,24,38,14,14,79,38,25,41,26,131,24,24
"MMP1 - mRNA",23,19,64,60,37,131,16,12,11,11,32,9,12,6,5,14,1,15,15,24,26,11,65,11,13,25,31,81,4,7
"MAGEA4 - mRNA",57,52,41,36,35,46,31,27,22,8,20,10,8,24,8,6,8,4,14,27,11,7,32,34,48,36,21,52,13,19
"NGFR - mRNA",53,44,37,35,30,59,33,36,27,16,16,11,7,14,18,15,5,18,18,29,19,7,53,30,52,41,33,57,25,35
"MAGEA1 - mRNA",48,41,50,39,36,57,23,35,23,22,15,12,11,23,6,8,4,15,17,32,17,5,54,26,27,36,29,46,26,18
"CSF2 - mRNA",43,45,38,41,23,67,21,23,19,6,17,9,8,17,5,14,2,12,18,29,16,12,47,35,34,43,32,41,28,26
"EXO1 - mRNA",36,43,38,44,27,49,27,22,26,14,13,10,6,23,11,11,3,12,13,22,12,11,59,28,38,33,23,62,24,17
"SLAMF7 - mRNA",43,31,34,42,28,49,35,33,27,14,18,14,6,15,12,11,3,8,11,30,16,10,40,38,43,35,20,46,24,14
"CXCL12 - mRNA",36,39,39,29,15,56,34,34,28,10,13,10,5,18,8,11,3,8,14,31,15,7,46,24,41,35,19,43,16,19
"FAS - mRNA",43,31,27,31,28,38,43,30,32,8,8,10,14,20,10,12,9,5,10,36,7,9,64,30,59,41,23,41,12,12
"CCL22 - mRNA",32,44,34,37,20,53,18,27,19,12,18,14,14,10,18,13,2,4,17,59,10,7,56,21,42,31,26,50,19,14
"CDC20 - mRNA",43,39,40,45,32,66,29,24,24,13,12,9,9,20,10,12,3,19,13,44,8,5,66,36,39,34,23,48,13,14
"PDCD1 - mRNA",38,31,40,41,41,59,32,25,19,9,11,9,6,19,14,11,2,9,7,46,21,6,52,32,34,34,21,40,15,16
"SIGLEC5 - mRNA",35,33,45,41,33,64,20,17,25,19,30,10,10,6,20,14,4,15,20,39,14,10,71,18,23,30,21,57,19,19
"CEACAM3 - mRNA",38,24,37,29,32,71,27,23,18,13,20,10,14,13,24,16,4,13,8,32,11,9,73,28,19,41,29,55,14,12
"ITGA2 - mRNA",36,26,41,27,18,64,36,25,25,21,39,12,11,10,14,8,8,24,13,43,12,13,55,19,21,27,16,45,15,12
"CCR4 - mRNA",37,28,41,40,40,70,43,26,29,25,25,26,8,13,18,10,5,26,14,37,18,14,65,22,36,33,19,42,23,13
"DNAJC14 - mRNA",18,17,34,33,33,75,31,34,26,16,14,8,10,12,14,10,4,16,8,36,16,16,58,30,11,50,15,47,15,7
"LOXL2 - mRNA",33,16,37,32,46,67,39,28,29,16,14,7,3,9,13,14,3,17,14,33,8,11,69,25,15,36,25,46,24,10
"NRDE2 - mRNA",31,18,35,41,38,74,30,28,25,19,12,10,10,16,11,10,4,15,19,36,9,18,58,15,17,35,17,55,15,7
"FGF9 - mRNA",35,18,36,40,28,59,17,19,14,13,12,4,6,13,15,14,1,14,9,49,7,9,62,19,20,34,17,47,13,9
"CCNO - mRNA",30,28,37,42,34,66,18,12,18,15,20,15,7,8,9,11,2,14,13,43,12,8,49,25,14,29,16,46,22,25
"PGPEP1 - mRNA",28,39,35,36,19,62,22,20,23,10,10,9,5,16,14,6,3,13,12,37,10,6,54,21,9,30,21,42,16,15
"PTCD2 - mRNA",45,27,24,45,26,70,37,24,29,7,16,7,9,8,12,7,3,11,14,36,9,9,52,18,23,29,11,39,19,18
"SIRPB2 - mRNA",38,21,32,35,25,88,19,31,16,16,9,10,11,11,8,11,8,15,14,27,10,9,46,19,20,28,14,49,15,12
"SNCA - mRNA",44,33,34,52,39,67,37,30,28,15,7,12,10,12,10,13,3,12,19,38,18,12,77,16,25,32,25,56,28,8
"WNT3A - mRNA",42,38,42,44,43,69,36,18,18,19,21,11,7,7,12,22,5,20,21,39,16,15,70,23,30,37,28,51,23,7
"SELL - mRNA",42,37,34,45,40,74,18,24,25,8,14,8,9,17,10,13,2,9,18,46,10,8,79,22,16,22,13,59,23,18
"EIF5AL1 - mRNA",46,42,38,44,47,78,36,15,22,14,20,9,11,18,8,7,2,11,19,45,14,7,91,33,29,38,15,61,20,15
"HELLS - mRNA",42,31,33,27,48,67,35,32,35,16,15,8,9,33,12,7,4,17,17,27,14,15,66,34,43,32,29,57,25,18
"UBE2T - mRNA",53,37,34,33,44,65,27,29,23,12,10,12,14,27,8,5,3,10,15,31,12,13,54,28,43,34,21,50,27,19
"TNFRSF4 - mRNA",43,42,37,42,45,68,31,37,23,17,10,12,18,18,16,16,7,9,22,36,22,10,62,32,26,31,48,43,20,11
"PF4 - mRNA",59,39,36,34,38,62,34,32,21,10,15,15,12,21,12,15,6,16,13,29,17,12,66,33,35,37,42,35,26,18
"PVR - mRNA",31,28,34,45,29,63,31,27,26,11,17,12,10,17,21,22,5,13,16,24,20,5,69,40,21,35,31,32,23,17
"MAPK10 - mRNA",32,41,39,34,29,64,40,26,25,15,21,16,9,27,23,16,6,20,9,32,15,13,49,32,19,44,18,40,19,23
"WNT10A - mRNA",34,32,39,35,39,75,24,24,22,27,15,27,8,14,18,13,8,19,15,30,10,16,75,36,29,52,33,43,22,21
