"","< 25","25 - 50","50 - 100","> 100"
"NM_000545.6:1158",0.666666666666667,0.333333333333333,0,0
"NM_003141.3:1190",0.666666666666667,0.233333333333333,0.1,0
"NM_002037.5:2125",0.666666666666667,0.166666666666667,0.166666666666667,0
"NM_001005291.1:1392",0.666666666666667,0.3,0.0333333333333333,0
"NM_007371.3:2621",0.666666666666667,0.266666666666667,0.0666666666666667,0
"NM_000876.2:7820",0.666666666666667,0.333333333333333,0,0
"NM_003883.3:1464",0.666666666666667,0.266666666666667,0.0666666666666667,0
"NM_003392.3:987",0.666666666666667,0.266666666666667,0.0666666666666667,0
"NM_005732.3:1357",0.666666666666667,0.0666666666666667,0.166666666666667,0.1
"NM_016343.3:9260",0.666666666666667,0.3,0.0333333333333333,0
"NM_000655.4:1872",0.666666666666667,0.233333333333333,0.1,0
"NM_002421.2:700",0.666666666666667,0.166666666666667,0.133333333333333,0.0333333333333333
"NM_000366.5:830",0.666666666666667,0.0666666666666667,0.133333333333333,0.133333333333333
"NM_005161.4:629",0.666666666666667,0.266666666666667,0.0666666666666667,0
"NM_003808.3:810",0.666666666666667,0.3,0.0333333333333333,0
"NM_001134836.1:600",0.666666666666667,0.3,0.0333333333333333,0
"NM_000958.2:975",0.666666666666667,0.2,0.133333333333333,0
"NM_001207014.1:1850",0.666666666666667,0.166666666666667,0.166666666666667,0
"NM_001561.5:567",0.666666666666667,0.266666666666667,0.0666666666666667,0
"NM_001161683.1:1693",0.666666666666667,0.3,0.0333333333333333,0
"NM_005406.2:3796",0.666666666666667,0.233333333333333,0.1,0
"NM_001242466.1:889",0.666666666666667,0.233333333333333,0.0666666666666667,0.0333333333333333
"NM_007108.2:800",0.666666666666667,0.3,0.0333333333333333,0
"NM_001243077.1:438",0.666666666666667,0.333333333333333,0,0
"NM_005191.3:674",0.666666666666667,0.266666666666667,0.0666666666666667,0
"XM_011545241.2:1015",0.666666666666667,0.333333333333333,0,0
"NM_004107.4:1260",0.666666666666667,0.333333333333333,0,0
"NM_003391.2:2014",0.666666666666667,0.3,0.0333333333333333,0
