"","20201204_30102534581221-01_P0094 D0 2 _08.RCC","20201204_30102534581221-01_P0094 D0 3_09.RCC","20201209_30102534211221-01_P0094 D3 17 nmc2 100_02.RCC","20201209_30102534211221-01_P0094 D3 18 nmc2 30_03.RCC","20201208_30102534591221-01_P0094 D3 9 nmc2 30_06.RCC","20201208_30102534591221-01_P0094 D3 10 IgG 250_07.RCC","20201209_30102534211221-01_P0094 D3 16 IFN_01.RCC","20201209_30102534211221-01_P0094 D3 26 nmc2 100_11.RCC","20201209_30102534211221-01_P0094 D3 27 nmc2 30_12.RCC","20201208_30102534591221-01_P0094 D3 14 PD1 250_11.RCC","20201209_30102534211221-01_P0094 D3 23 PD1 250_08.RCC","20201208_30102534591221-01_P0094 D3 8 nmc2 100_05.RCC","20201204_30102534581221-01_P0094 IgG 250 D3 1_10.RCC","20201209_30102534211221-01_P0094 D3 19 IgG 250_04.RCC","20201209_30102534211221-01_P0094 D3 25 IFN_10.RCC","20201204_30102534581221-01_P0094 D0 1_07.RCC","20201208_30102534591221-01_P0094 D3 7 IFN_04.RCC"
"DPP4 - mRNA",13,28,17,29,77,50,34,26,23,34,80,61,52,20,53,12,69
"CLECL1 - mRNA",26,19,26,27,75,37,27,25,25,39,80,73,50,40,61,18,58
"WNT2B - mRNA",30,21,34,32,75,43,28,36,21,39,81,63,48,35,63,13,60
"CCL8 - mRNA",26,33,30,26,70,45,32,31,18,39,81,62,57,33,64,15,61
"IFNA1 - mRNA",12,14,23,34,71,34,25,21,27,22,86,82,55,23,57,7,57
"NLRP3 - mRNA",12,11,22,28,60,32,29,16,17,28,87,71,45,24,54,14,63
"S100A12 - mRNA",15,7,26,29,68,38,31,41,18,28,79,76,48,20,56,14,68
"NFAM1 - mRNA",20,6,30,40,62,34,26,33,20,32,81,71,45,26,46,13,57
"FAM30A - mRNA",18,12,26,42,57,38,23,41,24,31,81,66,38,30,52,10,60
"TIGIT - mRNA",15,19,24,29,62,35,12,27,13,29,75,61,47,37,50,19,62
"LY9 - mRNA",17,16,22,35,74,40,20,34,21,30,79,68,43,32,49,20,69
"PRKAA2 - mRNA",18,23,27,41,55,36,21,30,18,38,65,71,54,31,63,13,64
"WNT2 - mRNA",9,17,21,40,60,39,18,27,25,29,72,76,53,31,44,12,55
"CLEC7A - mRNA",28,21,32,32,70,37,25,25,23,54,74,68,60,47,52,17,91
"GHR - mRNA",25,11,26,21,82,51,22,29,24,42,84,83,64,31,54,15,86
"BMP2 - mRNA",29,24,40,25,77,55,21,29,29,39,74,78,61,45,60,20,81
"AQP9 - mRNA",35,28,41,34,86,33,35,29,34,42,94,63,52,28,68,18,69
"IL1A - mRNA",34,29,14,33,73,41,35,49,30,34,98,74,52,40,62,21,61
"GPC4 - mRNA",29,26,32,49,62,49,31,38,28,42,91,65,52,44,68,17,63
"CD8A - mRNA",44,30,26,28,65,51,27,41,26,39,88,62,54,43,68,31,63
"CLEC5A - mRNA",14,18,31,35,38,29,22,48,25,54,45,39,46,57,37,9,87
"ITGAX - mRNA",40,43,35,50,44,44,29,45,30,43,72,42,51,39,59,29,64
"PVR - mRNA",37,42,30,44,50,54,23,36,21,52,65,51,55,49,65,22,70
"PNOC - mRNA",39,33,47,50,56,40,39,42,28,42,70,53,51,47,45,28,55
"PVRIG - mRNA",29,33,33,58,44,32,39,39,31,61,59,66,53,55,53,18,49
"CASP9 - mRNA",52,25,34,29,47,30,30,36,14,63,54,43,40,36,45,35,55
"IRF7 - mRNA",43,36,23,32,43,42,26,30,24,59,57,55,53,50,52,28,60
"FZD9 - mRNA",44,41,20,32,44,32,26,31,18,46,60,32,58,45,50,27,58
"LOXL2 - mRNA",47,38,37,27,43,28,31,37,26,35,57,51,54,29,51,37,63
"FZD8 - mRNA",29,33,35,42,47,40,35,36,26,33,49,58,61,35,48,28,48
"LAMB3 - mRNA",35,34,32,35,34,39,33,27,16,43,42,37,45,50,57,19,46
"ADAM12 - mRNA",38,24,29,24,31,42,33,35,16,37,34,36,58,49,51,19,49
"CD3E - mRNA",46,36,30,21,52,31,24,26,14,34,46,54,44,39,60,23,57
"TWIST1 - mRNA",35,20,24,31,35,31,19,21,18,32,45,49,50,33,52,15,56
"TAPBPL - mRNA",39,33,25,31,64,22,24,28,13,25,68,64,27,44,43,31,71
"COL4A5 - mRNA",25,21,29,38,60,38,22,21,15,41,54,64,56,26,35,25,69
"TNFAIP6 - mRNA",20,21,29,29,81,39,19,18,22,33,50,52,37,32,35,15,51
"GPR160 - mRNA",22,17,18,31,67,40,17,20,18,26,58,68,33,22,52,11,85
"PIK3R5 - mRNA",20,17,19,24,59,26,22,42,27,31,57,45,44,30,57,14,67
"CMKLR1 - mRNA",16,28,20,30,51,32,19,26,23,27,69,50,36,33,55,16,66
"WNT5A - mRNA",33,30,22,33,68,34,33,29,20,41,65,48,38,25,64,21,75
"CCND2 - mRNA",27,20,26,26,64,34,28,27,19,30,64,67,45,31,57,10,69
"STAT4 - mRNA",34,31,19,24,67,29,21,15,26,29,65,61,53,35,60,13,67
"WNT5B - mRNA",15,12,29,27,61,27,12,31,20,22,52,42,37,30,41,7,39
"CXCL5 - mRNA",16,9,28,30,54,20,17,22,19,34,55,58,34,33,49,10,37
"F2RL1 - mRNA",16,15,24,22,48,27,23,31,23,19,65,65,33,18,42,13,50
"IL1B - mRNA",20,14,31,23,52,20,17,29,26,23,59,57,42,24,40,15,49
"PPARG - mRNA",11,11,20,24,73,29,24,21,24,23,70,62,36,23,48,13,52
"DEFB134 - mRNA",13,19,18,22,65,31,21,21,24,30,62,59,42,33,43,13,57
"CCNO - mRNA",16,13,19,27,24,28,28,22,20,22,56,57,32,24,44,10,47
"C5 - mRNA",15,12,19,28,32,30,16,19,10,25,54,59,31,27,33,13,42
"GZMM - mRNA",18,10,20,41,42,30,16,23,14,27,53,57,34,33,44,14,56
"CXCR6 - mRNA",17,15,16,32,43,36,20,30,23,19,58,50,44,33,36,12,54
"PDCD1 - mRNA",20,16,26,29,40,29,16,31,19,20,68,49,34,30,42,10,53
"PDZK1IP1 - mRNA",18,19,21,31,47,31,27,23,16,21,70,64,47,27,33,9,44
"KIR3DL2 - mRNA",17,13,22,35,41,29,25,30,27,24,74,53,55,27,35,8,44
"WNT4 - mRNA",12,10,18,40,34,25,21,20,21,16,66,46,41,27,44,9,42
"CX3CR1 - mRNA",17,7,12,38,40,32,24,24,19,28,64,50,41,28,40,12,45
"TNFRSF11A - mRNA",12,21,16,30,47,18,23,28,31,27,68,42,41,30,37,10,47
"SIRPB2 - mRNA",19,16,18,30,43,21,14,28,20,34,57,48,36,24,42,9,47
"APLNR - mRNA",19,10,24,23,34,22,24,18,24,26,67,42,39,44,45,17,49
"FCAR - mRNA",20,23,33,29,32,27,31,34,26,38,71,39,36,40,43,19,62
"TIE1 - mRNA",30,26,29,34,41,22,23,25,24,33,76,48,36,31,44,19,54
"WNT3A - mRNA",24,12,32,48,56,22,28,20,22,28,64,38,49,33,44,8,64
"OASL - mRNA",32,23,31,39,45,23,23,25,20,32,67,40,48,44,51,17,50
"GAS1 - mRNA",26,30,30,41,41,21,30,21,16,33,52,45,51,40,44,13,56
"TLR9 - mRNA",23,28,28,48,42,31,28,29,15,27,58,66,43,33,49,8,53
"WNT10A - mRNA",32,27,31,44,40,35,26,34,29,35,62,65,53,36,52,17,56
"RUNX3 - mRNA",23,25,27,39,50,28,26,27,21,28,62,56,47,23,43,23,63
"CXCL14 - mRNA",22,32,26,25,54,29,30,29,27,33,63,51,54,34,45,18,52
"FPR1 - mRNA",23,23,31,43,54,27,29,28,26,36,65,55,51,40,42,12,57
"BATF3 - mRNA",34,18,19,32,53,37,34,28,23,37,65,49,51,29,53,10,52
"NOD2 - mRNA",30,19,23,40,56,30,24,23,27,35,64,56,41,35,61,11,48
"CD86 - mRNA",23,21,20,30,56,37,17,24,23,39,58,54,47,39,48,22,47
"ITGAL - mRNA",19,13,25,37,54,38,20,21,17,30,58,53,52,33,48,7,56
"CXCR3 - mRNA",13,23,24,36,41,29,19,32,28,34,65,54,60,46,35,24,46
"IL1R2 - mRNA",35,23,28,35,57,27,30,33,26,34,72,51,42,50,37,28,44
"TBX21 - mRNA",23,18,26,42,58,35,30,34,23,39,64,38,48,31,45,24,49
"MMRN2 - mRNA",25,22,16,36,58,31,29,29,27,37,54,44,37,31,35,24,45
"IL22RA1 - mRNA",16,20,22,50,61,34,27,28,23,24,67,51,36,45,50,12,46
"C7 - mRNA",13,12,25,42,69,32,30,24,26,31,58,56,33,36,54,14,47
"IFIT2 - mRNA",24,25,18,32,65,30,16,39,19,22,49,59,35,28,48,21,54
"TLR7 - mRNA",20,19,32,31,48,26,26,26,26,25,50,49,36,29,45,13,47
"TNFSF8 - mRNA",23,27,29,37,48,26,30,43,26,25,50,53,36,41,40,13,44
"MAGEA4 - mRNA",16,21,20,41,62,37,40,40,31,49,73,55,47,28,39,11,58
"LAMA1 - mRNA",20,11,31,26,66,28,49,26,33,40,48,51,50,35,57,13,53
"TWIST2 - mRNA",18,16,13,13,14,6,14,17,12,17,25,12,21,14,18,13,9
"IL21R - mRNA",15,16,12,15,11,8,14,15,13,22,18,12,22,9,28,13,12
"HLA-DQA2 - mRNA",11,9,15,9,8,13,14,15,16,15,18,14,21,9,13,14,5
"CD7 - mRNA",17,18,16,17,11,15,18,19,19,13,17,9,28,13,14,10,6
"REN - mRNA",15,8,12,5,12,10,18,14,11,21,18,14,15,17,12,7,10
"RELN - mRNA",8,11,11,7,12,8,16,13,6,18,12,17,13,13,17,12,12
"HLA-DRB5 - mRNA",9,18,22,13,13,8,10,10,12,20,22,9,17,18,13,11,10
"TNFRSF17 - mRNA",8,17,17,8,17,20,15,10,10,21,19,15,15,12,18,9,13
"FASLG - mRNA",5,17,11,12,10,16,9,13,14,17,13,13,24,17,17,4,19
"COMP - mRNA",7,11,18,7,9,12,9,7,13,10,15,17,8,15,11,5,18
"IL4 - mRNA",7,11,14,18,20,11,12,8,12,12,28,18,22,5,21,7,22
"CSF3 - mRNA",5,8,9,9,16,17,14,16,10,15,25,18,14,15,17,7,22
"GMIP - mRNA",13,11,7,14,10,12,6,19,8,15,19,14,14,10,14,4,12
"NEG_H(0) - mRNA",8,9,10,16,9,9,12,19,17,16,21,19,9,9,16,14,17
"GZMB - mRNA",9,12,8,8,7,3,6,10,2,5,11,8,11,9,6,9,10
"NEG_G(0) - mRNA",7,18,9,6,10,12,13,13,11,11,9,13,18,9,14,7,9
"TCL1A - mRNA",11,12,12,8,18,10,12,21,10,12,14,12,13,5,13,9,11
"NEG_D(0) - mRNA",11,15,14,8,10,9,17,15,9,11,13,6,11,9,14,12,13
"SHC2 - mRNA",16,9,16,9,6,10,11,15,13,10,8,14,6,9,7,10,8
"PRKX - mRNA",15,10,13,12,10,15,9,11,13,7,13,6,12,14,13,16,11
"CST2 - mRNA",15,5,9,10,8,9,11,9,6,14,13,7,14,10,11,13,12
"SFRP4 - mRNA",9,9,14,9,9,12,11,11,10,16,14,10,10,7,9,10,11
"VSIR - mRNA",30,15,8,8,16,7,13,7,8,16,10,13,12,5,10,17,14
"GZMA - mRNA",28,25,17,7,13,6,9,13,11,23,15,17,15,10,8,18,14
"CD79A - mRNA",19,14,7,9,16,7,11,10,13,8,21,15,16,14,16,8,21
"INHBA - mRNA",17,14,14,6,14,15,11,15,15,14,21,17,12,16,10,11,22
"HLA-DQB1 - mRNA",26,15,12,8,17,15,12,13,11,17,17,16,11,17,17,17,12
"CD244 - mRNA",18,18,7,9,11,11,13,22,8,13,15,15,8,11,14,14,15
"KLRB1 - mRNA",19,17,9,8,5,9,15,18,11,12,15,13,10,11,13,13,9
"COL6A3 - mRNA",33,25,21,9,10,13,14,14,8,19,15,8,18,21,20,17,17
"CDC25C - mRNA",25,24,17,6,8,14,16,15,9,5,20,14,21,16,16,11,17
"HSD11B1 - mRNA",28,19,19,12,22,15,12,25,10,11,19,14,21,13,16,17,9
"PDCD1LG2 - mRNA",28,16,27,21,20,14,16,16,12,17,18,14,23,23,23,10,15
"PDGFRB - mRNA",28,15,21,12,13,12,15,18,19,18,17,17,22,21,19,13,20
"IL18 - mRNA",38,33,14,17,24,15,19,18,13,17,17,20,33,13,22,16,17
"HERC6 - mRNA",45,37,16,14,14,22,24,21,18,18,14,17,22,19,30,15,18
"MAP3K12 - mRNA",35,28,17,13,10,22,11,18,5,13,15,19,22,22,19,22,29
"AREG - mRNA",38,24,16,14,15,11,13,23,12,25,21,14,26,13,20,23,27
"TNFRSF1B - mRNA",35,21,9,10,14,13,21,23,9,24,23,16,22,14,23,25,30
"CD247 - mRNA",29,25,27,22,25,26,24,31,29,23,30,24,26,17,21,16,19
