"","ProbeID","Codeset.Name","Probe.Label","Analyte.Type","Is.Control","Control.Type","Related.Probes","Probe.Annotation","KEGG.Pathways","Cell.Type","Official.Gene.Name","probeLabel.Type","below.threshold"
"HLA-F - mRNA","NM_001098479.1:285","NS_IO_360_V1.0","HLA-F","mRNA",0,"","","Interferon Signaling;Immune Cell Adhesion and Migration;Antigen Presentation","hsa04144;hsa04145;hsa04514;hsa04612;hsa04940;hsa05166;hsa05168;hsa05169;hsa05203;hsa05320;hsa05330;hsa05332;hsa05416","","HLA-F","HLA-F - mRNA","False"
"HLA-DMB - mRNA","NM_002118.3:20","NS_IO_360_V1.0","HLA-DMB","mRNA",0,"","","Immune Cell Adhesion and Migration;Antigen Presentation","hsa04145;hsa04514;hsa04612;hsa04672;hsa04940;hsa05140;hsa05145;hsa05150;hsa05152;hsa05164;hsa05166;hsa05168;hsa05310;hsa05320;hsa05321;hsa05322;hsa05323;hsa05330;hsa05332;hsa05416","","HLA-DMB","HLA-DMB - mRNA","False"
"TNFRSF14 - mRNA","NM_003820.3:503","NS_IO_360_V1.0","TNFRSF14","mRNA",0,"","","NF-kappaB Signaling;Costimulatory Signaling","hsa04060;hsa05168","","TNFRSF14","TNFRSF14 - mRNA","False"
"MAP3K8 - mRNA","NM_001244134.1:493","NS_IO_360_V1.0","MAP3K8","mRNA",0,"","","MAPK;Costimulatory Signaling","hsa04010;hsa04620;hsa04660;hsa04668","","MAP3K8","MAP3K8 - mRNA","False"
"IRF2 - mRNA","NM_002199.3:1624","NS_IO_360_V1.0","IRF2","mRNA",0,"","","Interferon Signaling","","","IRF2","IRF2 - mRNA","False"
"STAT2 - mRNA","NM_005419.2:1965","NS_IO_360_V1.0","STAT2","mRNA",0,"","","Lymphoid Compartment;JAK-STAT Signaling;Interferon Signaling;Cytotoxicity;Cytokine and Chemokine Signaling","hsa04062;hsa04380;hsa04630;hsa05160;hsa05161;hsa05162;hsa05164;hsa05168","","STAT2","STAT2 - mRNA","False"
"TLR3 - mRNA","NM_003265.2:37","NS_IO_360_V1.0","TLR3","mRNA",0,"","","Apoptosis","hsa04620;hsa05160;hsa05161;hsa05164;hsa05168","","TLR3","TLR3 - mRNA","False"
"CASP1 - mRNA","NM_001223.4:1050","NS_IO_360_V1.0","CASP1","mRNA",0,"","","Apoptosis","hsa04621;hsa04623;hsa05014;hsa05132;hsa05133;hsa05134;hsa05164","","CASP1","CASP1 - mRNA","False"
"SLC7A5 - mRNA","NM_003486.6:2011","NS_IO_360_V1.0","SLC7A5","mRNA",0,"","","Metabolic Stress","hsa05230","","SLC7A5","SLC7A5 - mRNA","False"
"PCK2 - mRNA","NM_001018073.2:1307","NS_IO_360_V1.0","PCK2","mRNA",0,"","","PI3K-Akt;Metabolic Stress","hsa00010;hsa00620;hsa03320;hsa04068;hsa04151;hsa04152;hsa04910;hsa04920;hsa04922;hsa04931","","PCK2","PCK2 - mRNA","False"
