"","ProbeID","Codeset.Name","Probe.Label","Analyte.Type","Is.Control","Control.Type","Related.Probes","Probe.Annotation","KEGG.Pathways","Cell.Type","Official.Gene.Name","probeLabel.Type","below.threshold"
"GBP1 - mRNA","NM_002053.2:1838","NS_IO_360_V1.0","GBP1","mRNA",0,"","","Interferon Signaling","","","GBP1","GBP1 - mRNA","False"
"GBP2 - mRNA","NM_004120.4:1744","NS_IO_360_V1.0","GBP2","mRNA",0,"","","Interferon Signaling","","","GBP2","GBP2 - mRNA","False"
"IFI6 - mRNA","NM_002038.3:410","NS_IO_360_V1.0","IFI6","mRNA",0,"","","Interferon Signaling;Cytotoxicity","","","IFI6","IFI6 - mRNA","False"
"IFITM1 - mRNA","NM_003641.3:536","NS_IO_360_V1.0","IFITM1","mRNA",0,"","","Lymphoid Compartment;Interferon Signaling;Cytotoxicity","hsa04662","","IFITM1","IFITM1 - mRNA","False"
"HLA-DQB1 - mRNA","NM_002123.3:384","NS_IO_360_V1.0","HLA-DQB1","mRNA",0,"","","Interferon Signaling;Immune Cell Adhesion and Migration;Costimulatory Signaling;Antigen Presentation","hsa04145;hsa04514;hsa04612;hsa04672;hsa04940;hsa05140;hsa05145;hsa05150;hsa05152;hsa05164;hsa05166;hsa05168;hsa05169;hsa05310;hsa05320;hsa05321;hsa05322;hsa05323;hsa05330;hsa05332;hsa05416","","HLA-DQB1","HLA-DQB1 - mRNA","True"
"CXCL11 - mRNA","NM_005409.4:333","NS_IO_360_V1.0","CXCL11","mRNA",0,"","","Lymphoid Compartment;Cytokine and Chemokine Signaling","hsa04060;hsa04062;hsa04620","","CXCL11","CXCL11 - mRNA","True"
"OAS2 - mRNA","NM_016817.2:380","NS_IO_360_V1.0","OAS2","mRNA",0,"","","Interferon Signaling;Cytotoxicity","hsa05160;hsa05162;hsa05164;hsa05168","","OAS2","OAS2 - mRNA","True"
"IDO1 - mRNA","NM_002164.5:52","NS_IO_360_V1.0","IDO1","mRNA",0,"","","Lymphoid Compartment","hsa05143","","IDO1","IDO1 - mRNA","True"
"GBP4 - mRNA","NM_052941.4:1761","NS_IO_360_V1.0","GBP4","mRNA",0,"","","Interferon Signaling","","","GBP4","GBP4 - mRNA","True"
"CXCL10 - mRNA","NM_001565.3:122","NS_IO_360_V1.0","CXCL10","mRNA",0,"","","Lymphoid Compartment;Cytokine and Chemokine Signaling","hsa04060;hsa04062;hsa04620;hsa04622;hsa04623;hsa04668;hsa05164","","CXCL10","CXCL10 - mRNA","True"
"CXCL9 - mRNA","NM_002416.2:2012","NS_IO_360_V1.0","CXCL9","mRNA",0,"","","Lymphoid Compartment;Cytokine and Chemokine Signaling","hsa04060;hsa04062;hsa04620","","CXCL9","CXCL9 - mRNA","True"
"A2M - mRNA","NM_000014.4:1685","NS_IO_360_V1.0","A2M","mRNA",0,"","","Matrix Remodeling and Metastasis","hsa04610","","A2M","A2M - mRNA","False"
"FLT1 - mRNA","NM_002019.4:530","NS_IO_360_V1.0","FLT1","mRNA",0,"","","PI3K-Akt;MAPK;Hypoxia;Angiogenesis","hsa04014;hsa04015;hsa04060;hsa04066;hsa04144;hsa04151;hsa04510;hsa05202;hsa05323","","FLT1","FLT1 - mRNA","False"
"PECAM1 - mRNA","NM_000442.4:2492","NS_IO_360_V1.0","PECAM1","mRNA",0,"","","Matrix Remodeling and Metastasis;Immune Cell Adhesion and Migration","hsa04514;hsa04670;hsa05144","","PECAM1","PECAM1 - mRNA","False"
"C1QA - mRNA","NM_015991.3:636","NS_IO_360_V1.0","C1QA","mRNA",0,"","","","hsa04610;hsa05020;hsa05133;hsa05142;hsa05150;hsa05322","","C1QA","C1QA - mRNA","True"
"CCL4 - mRNA","NM_002984.2:35","NS_IO_360_V1.0","CCL4","mRNA",0,"","","Myeloid Compartment;Cytokine and Chemokine Signaling;Antigen Presentation","hsa04060;hsa04062;hsa04064;hsa04620;hsa04623;hsa05132","","CCL4","CCL4 - mRNA","False"
"FCGR2A - mRNA","NM_021642.3:60","NS_IO_360_V1.0","FCGR2A","mRNA",0,"","","","hsa04145;hsa04380;hsa04611;hsa04666;hsa05140;hsa05150;hsa05152;hsa05322","","FCGR2A","FCGR2A - mRNA","False"
"TREM2 - mRNA","NM_018965.3:848","NS_IO_360_V1.0","TREM2","mRNA",0,"","","Myeloid Compartment","hsa04380","","TREM2","TREM2 - mRNA","False"
"FCGR3A/B - mRNA","NM_000570.4:255","NS_IO_360_V1.0","FCGR3A/B","mRNA",0,"","","","hsa04145;hsa04380;hsa04650;hsa05140;hsa05150;hsa05152;hsa05322","Neutrophils","FCGR3B","FCGR3A/B - mRNA","False"
"FPR3 - mRNA","NM_002030.4:733","NS_IO_360_V1.0","FPR3","mRNA",0,"","","Myeloid Compartment","hsa04080;hsa05150","","FPR3","FPR3 - mRNA","False"
"ENTPD1 - mRNA","NM_001098175.1:1418","NS_IO_360_V1.0","ENTPD1","mRNA",0,"","","","hsa00230;hsa00240;hsa05169","","ENTPD1","ENTPD1 - mRNA","False"
"GIMAP4 - mRNA","NM_018326.2:315","NS_IO_360_V1.0","GIMAP4","mRNA",0,"","","","","","GIMAP4","GIMAP4 - mRNA","False"
"CCL3/L1 - mRNA","NM_021006.5:411","NS_IO_360_V1.0","CCL3/L1","mRNA",0,"","","Cytokine and Chemokine Signaling","hsa04060;hsa04062;hsa04620;hsa05132;hsa05142;hsa05323","","CCL3L1","CCL3/L1 - mRNA","False"
"HLA-DQA1 - mRNA","NM_002122.3:258","NS_IO_360_V1.0","HLA-DQA1","mRNA",0,"","","Interferon Signaling;Immune Cell Adhesion and Migration;Costimulatory Signaling;Antigen Presentation","hsa04145;hsa04514;hsa04612;hsa04672;hsa04940;hsa05140;hsa05145;hsa05150;hsa05152;hsa05164;hsa05166;hsa05168;hsa05169;hsa05310;hsa05320;hsa05321;hsa05322;hsa05323;hsa05330;hsa05332;hsa05416","","HLA-DQA1","HLA-DQA1 - mRNA","False"
"HLA-DMA - mRNA","NM_006120.3:396","NS_IO_360_V1.0","HLA-DMA","mRNA",0,"","","Immune Cell Adhesion and Migration;Antigen Presentation","hsa04145;hsa04514;hsa04612;hsa04672;hsa04940;hsa05140;hsa05145;hsa05150;hsa05152;hsa05164;hsa05166;hsa05168;hsa05310;hsa05320;hsa05321;hsa05322;hsa05323;hsa05330;hsa05332;hsa05416","","HLA-DMA","HLA-DMA - mRNA","False"
"C1QB - mRNA","NM_000491.3:816","NS_IO_360_V1.0","C1QB","mRNA",0,"","","","hsa04610;hsa05020;hsa05133;hsa05142;hsa05150;hsa05322","","C1QB","C1QB - mRNA","False"
"IL24 - mRNA","NM_001185158.1:380","NS_IO_360_V1.0","IL24","mRNA",0,"","","JAK-STAT Signaling;Cytokine and Chemokine Signaling","hsa04060;hsa04630","","IL24","IL24 - mRNA","True"
"RSAD2 - mRNA","NM_080657.4:1057","NS_IO_360_V1.0","RSAD2","mRNA",0,"","","Interferon Signaling","hsa05164","","RSAD2","RSAD2 - mRNA","False"
"HLA-DOA - mRNA","NM_002119.3:3075","NS_IO_360_V1.0","HLA-DOA","mRNA",0,"","","Immune Cell Adhesion and Migration;Antigen Presentation","hsa04145;hsa04514;hsa04612;hsa04672;hsa04940;hsa05140;hsa05145;hsa05150;hsa05152;hsa05164;hsa05166;hsa05168;hsa05310;hsa05320;hsa05321;hsa05322;hsa05323;hsa05330;hsa05332;hsa05416","","HLA-DOA","HLA-DOA - mRNA","False"
"OASL - mRNA","NM_003733.2:1570","NS_IO_360_V1.0","OASL","mRNA",0,"","","Interferon Signaling","","","OASL","OASL - mRNA","False"
"LILRA1 - mRNA","NM_001278318.1:486","NS_IO_360_V1.0","LILRA1","mRNA",0,"","","","hsa04380","","LILRA1","LILRA1 - mRNA","False"
"PPARGC1B - mRNA","NM_001172699.1:1010","NS_IO_360_V1.0","PPARGC1B","mRNA",0,"","","","hsa04931","","PPARGC1B","PPARGC1B - mRNA","False"
"TBX21 - mRNA","NM_013351.1:1380","NS_IO_360_V1.0","TBX21","mRNA",0,"","","Lymphoid Compartment","hsa05321","Th1 cells","TBX21","TBX21 - mRNA","False"
"FAM124B - mRNA","NM_001122779.1:1620","NS_IO_360_V1.0","FAM124B","mRNA",0,"","","","","","FAM124B","FAM124B - mRNA","False"
"IL1R2 - mRNA","NR_048564.1:949","NS_IO_360_V1.0","IL1R2","mRNA",0,"","","MAPK;Cytokine and Chemokine Signaling","hsa04010;hsa04060;hsa04640;hsa05146;hsa05166;hsa05202","","IL1R2","IL1R2 - mRNA","False"
"MS4A1 - mRNA","NM_021950.3:161","NS_IO_360_V1.0","MS4A1","mRNA",0,"","","Lymphoid Compartment","hsa04640","B-cells","MS4A1","MS4A1 - mRNA","False"
"PVRIG - mRNA","NM_024070.3:1390","NS_IO_360_V1.0","PVRIG","mRNA",0,"","","Costimulatory Signaling","","","PVRIG","PVRIG - mRNA","False"
"VTCN1 - mRNA","NM_001253849.1:871","NS_IO_360_V1.0","VTCN1","mRNA",0,"","","Immune Cell Adhesion and Migration;Costimulatory Signaling","hsa04514","","VTCN1","VTCN1 - mRNA","False"
"AQP9 - mRNA","NM_001320635.1:753","NS_IO_360_V1.0","AQP9","mRNA",0,"","","Metabolic Stress","","","AQP9","AQP9 - mRNA","False"
"EOMES - mRNA","NM_001278182.1:1522","NS_IO_360_V1.0","EOMES","mRNA",0,"","","Lymphoid Compartment","","Exhausted CD8","EOMES","EOMES - mRNA","True"
"CCL5 - mRNA","NM_002985.2:277","NS_IO_360_V1.0","CCL5","mRNA",0,"","","Myeloid Compartment;Cytokine and Chemokine Signaling","hsa04060;hsa04062;hsa04620;hsa04621;hsa04623;hsa04668;hsa05020;hsa05120;hsa05142;hsa05164;hsa05168;hsa05323","","CCL5","CCL5 - mRNA","True"
"ITGB2 - mRNA","NM_000211.3:1412","NS_IO_360_V1.0","ITGB2","mRNA",0,"","","Matrix Remodeling and Metastasis;Immune Cell Adhesion and Migration","hsa04015;hsa04145;hsa04390;hsa04514;hsa04610;hsa04650;hsa04670;hsa04810;hsa05133;hsa05134;hsa05140;hsa05144;hsa05146;hsa05150;hsa05152;hsa05166;hsa05323;hsa05416","","ITGB2","ITGB2 - mRNA","False"
"FCGR2B - mRNA","NM_001002273.1:870","NS_IO_360_V1.0","FCGR2B","mRNA",0,"","","","hsa04145;hsa04380;hsa04662;hsa04666;hsa05150;hsa05152;hsa05162","","FCGR2B","FCGR2B - mRNA","False"
"IL10RA - mRNA","NM_001558.2:150","NS_IO_360_V1.0","IL10RA","mRNA",0,"","","JAK-STAT Signaling;Cytokine and Chemokine Signaling","hsa04060;hsa04630;hsa05145;hsa05152;hsa05169","","IL10RA","IL10RA - mRNA","False"
"CD3D - mRNA","NM_000732.4:127","NS_IO_360_V1.0","CD3D","mRNA",0,"","","Lymphoid Compartment;Costimulatory Signaling","hsa04640;hsa04660;hsa05142;hsa05162;hsa05166;hsa05340","T-cells","CD3D","CD3D - mRNA","False"
"CPA3 - mRNA","NM_001870.2:768","NS_IO_360_V1.0","CPA3","mRNA",0,"","","","hsa04974","Mast cells","CPA3","CPA3 - mRNA","True"
"PTGS2 - mRNA","NM_000963.1:495","NS_IO_360_V1.0","PTGS2","mRNA",0,"","","Myeloid Compartment;Costimulatory Signaling","hsa04064;hsa04370;hsa04668;hsa04723;hsa04726;hsa04921;hsa04923;hsa05140;hsa05200;hsa05206;hsa05222","","PTGS2","PTGS2 - mRNA","True"
"TPSAB1/B2 - mRNA","NM_003294.3:556","NS_IO_360_V1.0","TPSAB1/B2","mRNA",0,"","","","","Mast cells","TPSAB1","TPSAB1/B2 - mRNA","False"
"NDUFA4L2 - mRNA","NM_020142.3:563","NS_IO_360_V1.0","NDUFA4L2","mRNA",0,"","","","hsa04932;hsa05010;hsa05012;hsa05016","","NDUFA4L2","NDUFA4L2 - mRNA","True"
"FYN - mRNA","NM_002037.5:2125","NS_IO_360_V1.0","FYN","mRNA",0,"","","Costimulatory Signaling","hsa04071;hsa04072;hsa04360;hsa04380;hsa04510;hsa04520;hsa04611;hsa04650;hsa04660;hsa04664;hsa04725;hsa05020;hsa05130;hsa05162;hsa05416","","FYN","FYN - mRNA","False"
"NID2 - mRNA","NM_007361.3:1995","NS_IO_360_V1.0","NID2","mRNA",0,"","","Matrix Remodeling and Metastasis","","","NID2","NID2 - mRNA","False"
"PDGFA - mRNA","NM_033023.4:2390","NS_IO_360_V1.0","PDGFA","mRNA",0,"","","PI3K-Akt;Matrix Remodeling and Metastasis;MAPK","hsa04010;hsa04014;hsa04015;hsa04060;hsa04072;hsa04151;hsa04510;hsa04540;hsa04810;hsa05166;hsa05200;hsa05202;hsa05206;hsa05214;hsa05215;hsa05218;hsa05231","","PDGFA","PDGFA - mRNA","False"
"CSF1 - mRNA","NM_000757.5:251","NS_IO_360_V1.0","CSF1","mRNA",0,"","","PI3K-Akt;Myeloid Compartment;MAPK;Cytokine and Chemokine Signaling","hsa04014;hsa04015;hsa04060;hsa04151;hsa04380;hsa04640;hsa04668;hsa05323","","CSF1","CSF1 - mRNA","False"
"BBS1 - mRNA","NM_024649.4:82","NS_IO_360_V1.0","BBS1","mRNA",0,"","","","","","BBS1","BBS1 - mRNA","False"
"TSLP - mRNA","NM_033035.4:898","NS_IO_360_V1.0","TSLP","mRNA",0,"","","JAK-STAT Signaling;Costimulatory Signaling","hsa04060;hsa04630","","TSLP","TSLP - mRNA","False"
"EDN1 - mRNA","NM_001955.2:770","NS_IO_360_V1.0","EDN1","mRNA",0,"","","Hypoxia;Angiogenesis","hsa04066;hsa04668;hsa04916;hsa04933","","EDN1","EDN1 - mRNA","False"
"CDH1 - mRNA","NM_004360.3:379","NS_IO_360_V1.0","CDH1","mRNA",0,"","","Matrix Remodeling and Metastasis;Immune Cell Adhesion and Migration;Apoptosis","hsa04015;hsa04390;hsa04514;hsa04520;hsa05100;hsa05130;hsa05200;hsa05213;hsa05216;hsa05218;hsa05219","","CDH1","CDH1 - mRNA","False"
"CD58 - mRNA","NM_001144822.1:42","NS_IO_360_V1.0","CD58","mRNA",0,"","","Immune Cell Adhesion and Migration","hsa04514;hsa05169","","CD58","CD58 - mRNA","False"
"BLM - mRNA","NM_000057.3:1434","NS_IO_360_V1.0","BLM","mRNA",0,"","","DNA Damage Repair;Cell Proliferation;Apoptosis","hsa03440;hsa03460","","BLM","BLM - mRNA","False"
"FUT4 - mRNA","NM_002033.3:1151","NS_IO_360_V1.0","FUT4","mRNA",0,"","","","","","FUT4","FUT4 - mRNA","False"
"WDR76 - mRNA","NM_024908.3:1875","NS_IO_360_V1.0","WDR76","mRNA",0,"","","","","","WDR76","WDR76 - mRNA","False"
"RAD51C - mRNA","NM_058216.2:15","NS_IO_360_V1.0","RAD51C","mRNA",0,"","","DNA Damage Repair;Cell Proliferation","hsa03440;hsa03460","","RAD51C","RAD51C - mRNA","False"
"CCND3 - mRNA","NM_001136017.2:760","NS_IO_360_V1.0","CCND3","mRNA",0,"","","Wnt Signaling;PI3K-Akt;JAK-STAT Signaling;Cell Proliferation","hsa04110;hsa04115;hsa04151;hsa04310;hsa04390;hsa04510;hsa04630;hsa05162;hsa05166;hsa05203","","CCND3","CCND3 - mRNA","False"
"RASAL1 - mRNA","NM_001193520.1:3097","NS_IO_360_V1.0","RASAL1","mRNA",0,"","","MAPK","hsa04014","","RASAL1","RASAL1 - mRNA","False"
"VHL - mRNA","NM_198156.1:420","NS_IO_360_V1.0","VHL","mRNA",0,"","","Metabolic Stress;Hypoxia;Antigen Presentation","hsa04066;hsa04120;hsa05200;hsa05211","","VHL","VHL - mRNA","False"
"OLFML2B - mRNA","NM_015441.1:2920","NS_IO_360_V1.0","OLFML2B","mRNA",0,"","","","","","OLFML2B","OLFML2B - mRNA","False"
"PIK3CD - mRNA","NM_001350234.1:664","NS_IO_360_V1.0","PIK3CD","mRNA",0,"","","PI3K-Akt;Metabolic Stress;MAPK;JAK-STAT Signaling;Immune Cell Adhesion and Migration;Hypoxia;Cytokine and Chemokine Signaling;Autophagy","hsa00562;hsa04012;hsa04014;hsa04015;hsa04022;hsa04024;hsa04062;hsa04066;hsa04068;hsa04070;hsa04071;hsa04072;hsa04150;hsa04151;hsa04152;hsa04210;hsa04211;hsa04213;hsa04261;hsa04370;hsa04380;hsa04510;hsa04550;hsa04611;hsa04620;hsa04630;hsa04650;hsa04660;hsa04662;hsa04664;hsa04666;hsa04668;hsa04670;hsa04722;hsa04725;hsa04750;hsa04810;hsa04910;hsa04914;hsa04915;hsa04917;hsa04919;hsa04921;hsa04923;hsa04930;hsa04931;hsa04932;hsa04933;hsa04960;hsa04973;hsa05100;hsa05142;hsa05145;hsa05146;hsa05160;hsa05161;hsa05162;hsa05164;hsa05166;hsa05169;hsa05200;hsa05203;hsa05205;hsa05210;hsa05211;hsa05212;hsa05213;hsa05214;hsa05215;hsa05218;hsa05220;hsa05221;hsa05222;hsa05223;hsa05230;hsa05231","","PIK3CD","PIK3CD - mRNA","False"
"IRF5 - mRNA","NM_002200.3:1845","NS_IO_360_V1.0","IRF5","mRNA",0,"","","Interferon Signaling","","","","IRF5 - mRNA","False"
"TRAF1 - mRNA","NM_001190945.1:712","NS_IO_360_V1.0","TRAF1","mRNA",0,"","","","hsa04064;hsa04668;hsa05168;hsa05169;hsa05200;hsa05202;hsa05203;hsa05222","","TRAF1","TRAF1 - mRNA","False"
"CDKN2B - mRNA","NM_004936.3:906","NS_IO_360_V1.0","CDKN2B","mRNA",0,"","","TGF-beta Signaling;Metabolic Stress;Cell Proliferation","hsa04068;hsa04110;hsa04350;hsa05166;hsa05200;hsa05203;hsa05222","","CDKN2B","CDKN2B - mRNA","False"
"CASP9 - mRNA","XM_011542270.1:326","NS_IO_360_V1.0","CASP9","mRNA",0,"","","PI3K-Akt;Apoptosis","","","","CASP9 - mRNA","False"
"IL15 - mRNA","NM_000585.4:715","NS_IO_360_V1.0","IL15","mRNA",0,"","","JAK-STAT Signaling;Cytokine and Chemokine Signaling;Costimulatory Signaling","hsa04060;hsa04630;hsa04668;hsa04672;hsa05166;hsa05168;hsa05323","","IL15","IL15 - mRNA","False"
"BATF3 - mRNA","NM_018664.2:725","NS_IO_360_V1.0","BATF3","mRNA",0,"","","Antigen Presentation","","","BATF3","BATF3 - mRNA","False"
"SLC2A1 - mRNA","NM_006516.2:264","NS_IO_360_V1.0","SLC2A1","mRNA",0,"","","Metabolic Stress;Hypoxia","hsa04066;hsa04919;hsa04920;hsa04922;hsa04931;hsa05166;hsa05200;hsa05211;hsa05230","","SLC2A1","SLC2A1 - mRNA","False"
"BIRC3 - mRNA","NM_001165.4:6567","NS_IO_360_V1.0","BIRC3","mRNA",0,"","","NF-kappaB Signaling;Apoptosis","hsa04064;hsa04120;hsa04210;hsa04510;hsa04621;hsa04668;hsa05145;hsa05200;hsa05202;hsa05222","","BIRC3","BIRC3 - mRNA","False"
"UBA7 - mRNA","NM_003335.2:580","NS_IO_360_V1.0","UBA7","mRNA",0,"","","Interferon Signaling;DNA Damage Repair;Antigen Presentation","hsa04120;hsa05012","","UBA7","UBA7 - mRNA","False"
"JAK2 - mRNA","NM_004972.2:455","NS_IO_360_V1.0","JAK2","mRNA",0,"","","PI3K-Akt;Lymphoid Compartment;JAK-STAT Signaling;Interferon Signaling;Epigenetic Regulation;Cytotoxicity;Cytokine and Chemokine Signaling","hsa04062;hsa04151;hsa04550;hsa04630;hsa04725;hsa04917;hsa04920;hsa04933;hsa05140;hsa05145;hsa05152;hsa05162;hsa05164;hsa05168","","JAK2","JAK2 - mRNA","False"
"ALDOC - mRNA","NM_005165.2:335","NS_IO_360_V1.0","ALDOC","mRNA",0,"","","","hsa00010;hsa00051","","ALDOC","ALDOC - mRNA","False"
"FZD8 - mRNA","NM_031866.1:890","NS_IO_360_V1.0","FZD8","mRNA",0,"","","Wnt Signaling","hsa04310;hsa04390;hsa04550;hsa04916;hsa05166;hsa05200;hsa05205;hsa05217","","FZD8","FZD8 - mRNA","False"
"BAD - mRNA","NM_004322.3:963","NS_IO_360_V1.0","BAD","mRNA",0,"","","PI3K-Akt;MAPK;Autophagy;Apoptosis","hsa04012;hsa04014;hsa04022;hsa04024;hsa04151;hsa04210;hsa04370;hsa04510;hsa04722;hsa04910;hsa04919;hsa05010;hsa05014;hsa05145;hsa05152;hsa05160;hsa05161;hsa05200;hsa05203;hsa05210;hsa05212;hsa05213;hsa05215;hsa05218;hsa05220;hsa05221;hsa05223","","BAD","BAD - mRNA","False"
"HEY1 - mRNA","NM_001040708.1:1859","NS_IO_360_V1.0","HEY1","mRNA",0,"","","Notch Signaling;Angiogenesis","","","HEY1","HEY1 - mRNA","False"
"ITGA1 - mRNA","NM_181501.1:502","NS_IO_360_V1.0","ITGA1","mRNA",0,"","","PI3K-Akt;Matrix Remodeling and Metastasis;Lymphoid Compartment;Immune Cell Adhesion and Migration","hsa04151;hsa04510;hsa04512;hsa04640;hsa04810;hsa05410;hsa05412;hsa05414","","ITGA1","ITGA1 - mRNA","False"
"LAMB3 - mRNA","NM_000228.2:3350","NS_IO_360_V1.0","LAMB3","mRNA",0,"","","PI3K-Akt;Myeloid Compartment;Matrix Remodeling and Metastasis","hsa04151;hsa04510;hsa04512;hsa05145;hsa05146;hsa05200;hsa05222","","LAMB3","LAMB3 - mRNA","False"
"MMP9 - mRNA","NM_004994.2:2011","NS_IO_360_V1.0","MMP9","mRNA",0,"","","Matrix Remodeling and Metastasis;Immune Cell Adhesion and Migration;Angiogenesis","hsa04668;hsa04670;hsa04915;hsa05161;hsa05200;hsa05202;hsa05205;hsa05206;hsa05219","","MMP9","MMP9 - mRNA","False"
"WNT7B - mRNA","NM_058238.2:1874","NS_IO_360_V1.0","WNT7B","mRNA",0,"","","Wnt Signaling;Hedgehog Signaling","hsa04310;hsa04340;hsa04390;hsa04550;hsa04916;hsa05166;hsa05200;hsa05205;hsa05217","","WNT7B","WNT7B - mRNA","False"
"KIR2DL3 - mRNA","NM_015868.2:145","NS_IO_360_V1.0","KIR2DL3","mRNA",0,"","","Lymphoid Compartment;Cytotoxicity;Antigen Presentation","hsa04612;hsa04650;hsa05332","NK CD56dim cells","KIR2DL3","KIR2DL3 - mRNA","False"
"CXCR4 - mRNA","NM_001008540.1:1060","NS_IO_360_V1.0","CXCR4","mRNA",0,"","","Immune Cell Adhesion and Migration;Cytokine and Chemokine Signaling","hsa04060;hsa04062;hsa04144;hsa04360;hsa04670;hsa04672;hsa05200","","CXCR4","CXCR4 - mRNA","False"
"CD14 - mRNA","NM_001174105.1:1020","NS_IO_360_V1.0","CD14","mRNA",0,"","","Myeloid Compartment;MAPK;Apoptosis","hsa04010;hsa04064;hsa04145;hsa04620;hsa04640;hsa04810;hsa05130;hsa05132;hsa05133;hsa05134;hsa05146;hsa05152;hsa05202","","CD14","CD14 - mRNA","False"
"CYBB - mRNA","NM_000397.3:1034","NS_IO_360_V1.0","CYBB","mRNA",0,"","","Myeloid Compartment;Immune Cell Adhesion and Migration;Hypoxia;Antigen Presentation","hsa04066;hsa04145;hsa04380;hsa04670;hsa04933","","CYBB","CYBB - mRNA","False"
"SLC16A1 - mRNA","NM_003051.3:635","NS_IO_360_V1.0","SLC16A1","mRNA",0,"","","Metabolic Stress","","","SLC16A1","SLC16A1 - mRNA","False"
"MFGE8 - mRNA","NM_001114614.1:328","NS_IO_360_V1.0","MFGE8","mRNA",0,"","","","","","MFGE8","MFGE8 - mRNA","False"
"TLR2 - mRNA","NM_001318787.1:484","NS_IO_360_V1.0","TLR2","mRNA",0,"","","PI3K-Akt;Myeloid Compartment","hsa04145;hsa04151;hsa04620;hsa05134;hsa05140;hsa05142;hsa05144;hsa05145;hsa05146;hsa05152;hsa05161;hsa05162;hsa05168;hsa05205;hsa05321;hsa05323","","TLR2","TLR2 - mRNA","False"
"FBP1 - mRNA","NM_001127628.1:488","NS_IO_360_V1.0","FBP1","mRNA",0,"","","Metabolic Stress","hsa00010;hsa00051;hsa04152;hsa04910;hsa04922","","FBP1","FBP1 - mRNA","False"
"ARG2 - mRNA","NM_001172.3:512","NS_IO_360_V1.0","ARG2","mRNA",0,"","","","hsa00220;hsa00330;hsa05146","","ARG2","ARG2 - mRNA","False"
"ICAM3 - mRNA","NM_002162.3:1225","NS_IO_360_V1.0","ICAM3","mRNA",0,"","","Matrix Remodeling and Metastasis;Immune Cell Adhesion and Migration","hsa04514","","ICAM3","ICAM3 - mRNA","False"
"ULBP2 - mRNA","NM_025217.2:905","NS_IO_360_V1.0","ULBP2","mRNA",0,"","","Antigen Presentation","hsa04650","","ULBP2","ULBP2 - mRNA","False"
"SFRP4 - mRNA","NM_003014.2:1060","NS_IO_360_V1.0","SFRP4","mRNA",0,"","","Wnt Signaling","hsa04310","","SFRP4","SFRP4 - mRNA","True"
"TCL1A - mRNA","NM_001098725.1:370","NS_IO_360_V1.0","TCL1A","mRNA",0,"","","PI3K-Akt","hsa04151","B-cells","TCL1A","TCL1A - mRNA","True"
"CTAG1B - mRNA","NM_001327.2:285","NS_IO_360_V1.0","CTAG1B","mRNA",0,"","","","","","CTAG1B","CTAG1B - mRNA","True"
"DKK1 - mRNA","NM_012242.2:525","NS_IO_360_V1.0","DKK1","mRNA",0,"","","Wnt Signaling","hsa04310","","DKK1","DKK1 - mRNA","True"
"CXCR6 - mRNA","NM_006564.1:97","NS_IO_360_V1.0","CXCR6","mRNA",0,"","","Cytokine and Chemokine Signaling","hsa04060;hsa04062","","CXCR6","CXCR6 - mRNA","True"
"INHBA - mRNA","NM_002192.2:1914","NS_IO_360_V1.0","INHBA","mRNA",0,"","","TGF-beta Signaling","hsa04060;hsa04350;hsa04550","","INHBA","INHBA - mRNA","True"
"PRF1 - mRNA","NM_001083116.1:631","NS_IO_360_V1.0","PRF1","mRNA",0,"","","Lymphoid Compartment;Cytotoxicity","hsa04650;hsa04940;hsa05320;hsa05330;hsa05332;hsa05416","Cytotoxic cells","PRF1","PRF1 - mRNA","True"
"ARG1 - mRNA","NM_000045.3:744","NS_IO_360_V1.0","ARG1","mRNA",0,"","","Myeloid Compartment","hsa00220;hsa00330;hsa05146","","ARG1","ARG1 - mRNA","True"
"CTSW - mRNA","NM_001335.3:1075","NS_IO_360_V1.0","CTSW","mRNA",0,"","","Antigen Presentation","hsa04142","Cytotoxic cells","CTSW","CTSW - mRNA","True"
"VSIR - mRNA","NM_022153.1:185","NS_IO_360_V1.0","VSIR","mRNA",0,"","","","","","VSIR","VSIR - mRNA","True"
"CD48 - mRNA","NM_001778.3:413","NS_IO_360_V1.0","CD48","mRNA",0,"","","Lymphoid Compartment;Costimulatory Signaling","hsa04650","","CD48","CD48 - mRNA","True"
"GZMA - mRNA","NM_006144.3:215","NS_IO_360_V1.0","GZMA","mRNA",0,"","","Lymphoid Compartment;Cytotoxicity","hsa04080","Cytotoxic cells","GZMA","GZMA - mRNA","True"
"CD27 - mRNA","NM_001242.4:326","NS_IO_360_V1.0","CD27","mRNA",0,"","","NF-kappaB Signaling;Lymphoid Compartment;Costimulatory Signaling","hsa04060","","CD27","CD27 - mRNA","True"
"GZMK - mRNA","NM_002104.2:634","NS_IO_360_V1.0","GZMK","mRNA",0,"","","Lymphoid Compartment;Cytotoxicity","","","GZMK","GZMK - mRNA","True"
"STAT4 - mRNA","NM_001243835.1:808","NS_IO_360_V1.0","STAT4","mRNA",0,"","","JAK-STAT Signaling;Costimulatory Signaling","hsa04630;hsa05161;hsa05321","","STAT4","STAT4 - mRNA","True"
"LY9 - mRNA","NM_001033667.2:339","NS_IO_360_V1.0","LY9","mRNA",0,"","","Lymphoid Compartment;Costimulatory Signaling","","","LY9","LY9 - mRNA","True"
