"","20210112_30102534301221-01_P0091-3 D0 media_06.RCC","20201201_30102534601221-01_P0092 D3 IFNy(100ng-mL)-2_12.RCC","20201201_30102534601221-01_P0092 D3 IFNy(100ng-mL)-1_06.RCC","20201202_30102534611221-01_P0092 D3 IFNy(100ng-mL)-3_06.RCC","20201201_30102534601221-01_P0092 D3 IgG1(250ug-mL)-1_04.RCC","20201201_30102534601221-01_P0092 D3 NMC1(30ug-mL)-1_07.RCC","20201201_30102534601221-01_P0092 D3 aPD1(250ug-mL)-2_11.RCC","20201201_30102534601221-01_P0092 D3 NMC2(100ug-mL)-1_09.RCC","20201202_30102534611221-01_P0092 D3 NMC2(100ug-mL)-3_09.RCC","20201201_30102534601221-01_P0092 D3 aPD1(250ug-mL)-1_05.RCC","20201202_30102534611221-01_P0092 D3 NMC1(30ug-mL)-2_01.RCC","20201202_30102534611221-01_P0092 D3 IgG1(250ug-mL)-3_04.RCC","20201202_30102534611221-01_P0092 D3 Control-2_11.RCC","20201202_30102534611221-01_P0092 D3 Control-1_10.RCC","20201202_30102534611221-01_P0092 D3 NMC1(30ug-mL)-3_07.RCC","20201202_30102534611221-01_P0092 D3 aPD1(250ug-mL)-3_05.RCC","20201202_30102534611221-01_P0092 D3 Control-3_12.RCC","20201202_30102534611221-01_P0092 D3 NMC2(30ug-mL)-3_08.RCC","20201202_30102534611221-01_P0092 D3 NMC2(100ug-mL)-2_03.RCC","20201201_30102534601221-01_P0092 D3 NMC2(30ug-mL)-1_08.RCC","20201202_30102534611221-01_P0092 D3 NMC2(30ug-mL)-2_02.RCC","20210113_30102534541221-01_P0091-7 LUNG D3 NMC2 100ug.ml_07.RCC","20210113_30102534541221-01_P0091-8 LUNG D3 IFNy 100ng.ml_08.RCC","20210113_30102534541221-01_P0091-9 LUNG D3 IgG1 100ug.ml_09.RCC","20210113_30102534541221-01_P0091-10 LUNG D3 NMC2 30ug.ml_10.RCC","20201209_30102534211221-01_P0094 D3 19 IgG 250_04.RCC","20201208_30102534591221-01_P0094 D3 14 PD1 250_11.RCC","20201209_30102534211221-01_P0094 D3 25 IFN_10.RCC","20201208_30102534591221-01_P0094 D3 10 IgG 250_07.RCC","20201204_30102534581221-01_P0094 IgG 250 D3 1_10.RCC","20201208_30102534591221-01_P0094 D3 7 IFN_04.RCC","20201209_30102534211221-01_P0094 D3 27 nmc2 30_12.RCC","20201209_30102534211221-01_P0094 D3 18 nmc2 30_03.RCC","20201209_30102534211221-01_P0094 D3 23 PD1 250_08.RCC","20201208_30102534591221-01_P0094 D3 8 nmc2 100_05.RCC","20201208_30102534591221-01_P0094 D3 9 nmc2 30_06.RCC","20201209_30102534211221-01_P0094 D3 17 nmc2 100_02.RCC","20201209_30102534211221-01_P0094 D3 16 IFN_01.RCC","20201209_30102534211221-01_P0094 D3 26 nmc2 100_11.RCC","20210112_30102534301221-01_P0091-2 D0 media_05.RCC","20210108_P0090_D0_Control(3).RCC","20210108_P0090_D0_Control(1).RCC","20210108_P0090_D0_Control(2).RCC","20210112_30102534301221-01_P0091-1 D3 IgG1 100ug]mL_07.RCC","20210112_30102534301221-01_P0090-12 D3 IFNy 100ng]mL_03.RCC","20210112_30102534301221-01_P0091-1 D0 media_04.RCC","20210112_30102534301221-01_P0091-3 D3 NMC2 100ug]mL_09.RCC","20210108_P0090_D3_IFNg_100ngml(1).RCC","20210108_P0090_D3_IgG1_100ugml(3).RCC","20210112_30102534301221-01_P0090-11 D3 NMC2 100ug]mL_02.RCC","20210112_30102534301221-01_P0090-10 D3 NMC2 30ug]mL_01.RCC","20210108_P0090_D3_IFNg_100ngml(2).RCC","20210108_P0090_D3_NMC2_100ugml(2).RCC","20210108_P0090_D3_NMC2_30ugml(1).RCC","20210108_P0090_D3_IgG1_100ugml(2).RCC","20210108_P0090_D3_IgG1_100ugml(1).RCC","20210108_P0090_D3_NMC2_30ugml(2).RCC","20210108_P0090_D3_NMC2_100ugml(1).RCC","20210112_30102534301221-01_P0091-5 D3 IgG1 100ug]mL_11.RCC","20210112_30102534301221-01_P0091-6 D3 NMC2 30ug]mL_12.RCC","20210112_30102534301221-01_P0091-4 D3 IFNy 100ng]mL_10.RCC","20210113_30102534541221-01_P0091-11 LUNG D3 NMC2 100ug.ml_11.RCC","20210112_30102534301221-01_P0091-2 D3 NMC2 30ug]mL_08.RCC","20210113_30102534541221-01_P0091-12 LUNG D3 IFNy 100ng.ml_12.RCC"
"CCNB1 - mRNA",6.99650857058257,9.43211838322593,9.42503670839777,9.26639352607996,9.6935189682472,9.57611800880506,9.80481638863814,9.03747054263634,8.62826797291281,9.67068941833183,9.13802175574199,9.49279998895468,9.39673633441613,9.04233753512257,9.22700875750138,9.80577781457856,9.62682281079629,9.08461556125045,8.75786332238224,9.35391986098306,9.34390150330794,3.89990153342207,4.65347160813647,4.99184601639063,5.4308195266067,6.64509327517453,6.15773226286527,6.74804795547027,6.75148531911702,6.71435715046331,7.12984142763673,6.81561049678706,6.85540698441485,6.51424294271906,6.20559565138936,6.66834508135849,6.24053630790918,7.03562337091921,6.57203100939485,6.7097471825245,6.51149100026028,6.34524537704776,6.34270122620049,7.48906811650356,8.17783070977035,7.64611062211572,7.30352951474652,4.09524779768106,6.86287351252155,6.73239031458239,7.36206247327378,7.38159522468096,6.96000882685923,7.1862141572639,6.99420719108816,7.35582960415932,7.17340067195857,6.49619770019288,7.6745053325507,7.28289202198539,6.60720013979214,7.08447429215621,7.1033521669138,6.4187187660948
"NT5E - mRNA",6.5110817117769,9.83950224074812,9.59562479501561,9.59271547704654,9.27516769533499,9.58164343262715,9.40059518241858,9.48419303701571,9.47368469545208,9.39127033973187,9.43618807156097,9.5334929987643,9.4397374371091,9.25547209140199,9.55506288904026,9.60119553973921,9.41500916427274,9.53859735000407,9.43492735570233,9.65505767060573,9.27540160389015,3.89990153342207,4.65347160813647,7.60937524162092,5.4308195266067,5.8996659619299,6.18081593178948,6.01869547936472,5.5682634830662,5.88546913555051,5.79248320667058,7.12755452978452,6.49695297548573,6.36614421841593,6.29870517673458,6.35800495734215,6.24053630790918,5.98831769572701,5.97339363806226,6.38781922202002,6.09645362748722,5.93020781862037,6.24316554630104,7.48906811650356,7.47739080791864,6.90914506396057,6.88849196676063,7.18753677583396,7.61776091873915,7.67098984660823,7.36206247327378,7.50023964923526,7.19704807226724,7.2880937176994,7.26269590573638,8.06070137285297,7.40557413866893,7.09180741879068,6.18907861130815,6.28289202198539,6.3661919985843,6.89806114849799,5.22888324484569,6.71827909011246
"PDZK1IP1 - mRNA",6.18915358920855,10.7737577742732,10.9133034282987,10.844529835108,10.6991822682018,10.7584152761291,10.8894590300241,10.9111360290913,10.9506178324605,10.6993426335295,11.1944929654285,10.4872864561631,10.1035237772988,10.7222028981911,10.8153778228491,10.6399957560281,10.3961575117125,10.7665259768275,10.7440961618977,10.9115424876927,11.0947616625665,3.89990153342207,4.65347160813647,4.99184601639063,5.4308195266067,4.56709070071005,4.59585343106833,4.81516213180624,4.93749731725294,5.19213039485903,4.71275610766887,5.95762948965226,6.16574718500725,6.28597389371737,5.97677702228667,5.68377518288966,5.54539086672292,5.8363144987552,5.3676725741793,3.47136437156448,7.99691787487019,7.80467697955364,8.05052043842986,3.19980204416031,7.64731579766713,7.02462229246083,2.56744030814171,4.09524779768106,7.67022833364909,7.60685948183754,7.0141390064226,7.15920292158209,8.05954448804976,7.82866210079287,7.89232750585841,7.73434112375637,8.25140323656304,7.23316324321751,6.56759024216694,6.96096384835275,7.07668529977496,7.24953347780669,6.68831477255355,7.04020726172873
"TNFAIP6 - mRNA",6.5110817117769,7.3723762279125,7.2269802474841,7.82492272201219,9.65178223301698,9.37187978082521,9.22415833803053,9.24877378074238,9.28723102542427,9.12014784154768,9.40917220698941,9.49737847750802,9.20540339787468,9.46489207196863,9.51372205409819,9.7020954099171,9.4880445826281,9.23595373381576,9.23752158508397,9.15025350294229,9.25698391168917,3.89990153342207,4.65347160813647,4.99184601639063,5.4308195266067,4.81220318713504,5.24793013307168,4.90005103817791,5.26870318951265,4.84699498773588,4.92574972528493,6.41706109351704,6.0695318718268,5.80054714050218,5.6772167985786,6.46903635246113,6.01105454666099,4.27467830509831,4.38219183199292,3.47136437156448,7.77452548647796,7.86182079356484,7.75773872770132,3.19980204416031,2.91043833744184,6.32418259925047,6.52592196739464,4.09524779768106,7.90726762474354,8.53974525214654,7.36206247327378,7.2065085510545,8.41944036438153,8.45801879503946,8.16413217241242,8.24335487561502,9.46290723168456,8.38804869699609,6.03707552884819,5.96096384835275,5.71411531199821,4.380265096346,5.81384556603949,6.17771059913702
"CCND2 - mRNA",6.77411603061328,7.89962327875468,7.59562479501561,8.03506822218576,8.82235609797436,9.16660597351548,8.94875014912688,9.07023578111562,8.99341361668247,8.6982914586305,8.97405593368991,8.97021220310701,8.7956024368359,8.57318361032007,8.97706990448586,8.8308042462549,8.76147230422936,9.05946626403381,9.0235817850107,8.9322797323248,8.9696497398847,3.89990153342207,4.65347160813647,4.99184601639063,5.4308195266067,4.76639952071312,5.11042659793206,5.60365803200692,5.07076382180679,5.12939480086993,5.36184887723835,6.20555702386624,5.91199061053829,6.15669091837212,6.0428661959909,6.12918631191633,5.85351317159047,5.88878198808802,5.5989981811102,3.47136437156448,8.46568733717256,7.91678726217269,8.11763470230837,6.86103700339678,7.47739080791864,6.49410750066207,7.30352951474652,7.11353616365691,3.91156206901603,3.22973526082972,6.87663543914425,6.64462977182308,6.40058137372345,6.73555272051688,4.35155787445556,6.59461642806888,7.02901082153898,6.98162450909827,6.18907861130815,6.13088881119443,6.3661919985843,6.79496768913462,6.81384556603949,6.47316653949942
"GPR160 - mRNA",7.64858524559266,8.66429178155397,8.57425119810387,8.62861441033048,8.83011951043722,8.75597361625099,8.82573918170404,8.67521612640668,8.55692907973158,8.68773779031624,8.66042935627356,8.70163357785001,8.53674367771599,8.42470887111017,8.62439834302912,8.75728714846104,8.65015530893787,8.64724485940243,8.39713432002556,8.64880639978523,8.72211490887758,3.89990153342207,4.65347160813647,4.99184601639063,5.4308195266067,4.2716348337825,4.90397566906507,5.47120768919727,5.30522918061302,4.68193568526083,5.66271542387477,6.1275545194672,6.16574718500725,6.01467196370624,6.06423982715387,6.19527548145516,5.32299853806237,4.27467830509831,4.38219183199292,7.55774414114803,7.49334363993863,7.4232477620353,7.31027980102777,7.20896020132605,6.93682248616989,6.32418259925047,2.56744030814171,4.09524779768106,3.91156206901603,3.22973526082972,6.13966999639742,6.89616839058949,6.90754141683623,7.03811538735184,7.05833746257753,7.78878901567604,7.15031719651318,7.07043381030272,7.56759023456188,7.66140353977033,7.29907774859379,6.74051987662916,6.77320361378379,7.07583100115869
