"cell type scores - log2"
"","Macrophages","Exhausted CD8","B-cells","CD45","Neutrophils","T-cells","NK CD56dim cells","Mast cells","Th1 cells"
"20201202_30102534611221-01_P0092 D3 Control-3_12.RCC",7.81406734223717,4.26652061062843,4.35118837288889,4.26652061062843,5.22862214058919,4.74711693612166,4.69259324381133,4.52952550729575,4.26652061062843
"20201202_30102534611221-01_P0092 D3 IFNy(100ng-mL)-3_06.RCC",8.56615045570215,4.26418427134966,4.91589644017189,4.33093386776487,5.59508061010472,4.46843734589653,5.18924655179717,4.26418427134966,4.88347492663658
"20201202_30102534611221-01_P0092 D3 IgG1(250ug-mL)-3_04.RCC",7.83059905039526,3.86055981959543,4.26581447386284,3.86055981959543,5.06746812907396,3.96095998056467,4.04580442301549,3.86055981959543,3.86055981959543
"20201202_30102534611221-01_P0092 D3 NMC1(30ug-mL)-2_01.RCC",8.08063116146751,3.91440445965446,4.31465447664533,4.40211740318902,5.33159539865278,3.91440445965446,4.8143413226873,4.66042935627356,3.91440445965446
"20201202_30102534611221-01_P0092 D3 NMC1(30ug-mL)-3_07.RCC",7.97010026941258,3.80366422253074,4.89481223498694,4.73953404477749,5.66253823435767,4.56550456745704,5.19595391760881,4.70636698994148,4.23429866684342
"20201202_30102534611221-01_P0092 D3 NMC2(30ug-mL)-2_02.RCC",8.00686655096832,3.93815666819349,4.87083192914802,3.93815666819349,5.72473825979084,3.93815666819349,5.39040939029224,4.66272379672667,4.61209773382778
"20201202_30102534611221-01_P0092 D3 NMC2(30ug-mL)-3_08.RCC",8.23595373620838,4.49298942827135,5.27726072688216,4.49298942827135,5.50949689528024,4.78249595227463,4.69548131287211,4.60846644362657,4.53251776302075
"20201202_30102534611221-01_P0092 D3 NMC2(100ug-mL)-2_03.RCC",8.31625404446638,4.12022759048781,4.34443695664404,4.16157275361933,5.26177905275611,4.12022759048781,4.32865473708045,4.12022759048781,4.12022759048781
"20201202_30102534611221-01_P0092 D3 NMC2(100ug-mL)-3_09.RCC",8.25480964135468,3.60273288809751,4.9917751939574,4.60273282872111,5.64173406613872,4.38034046676106,5.08660567619308,4.38034046676106,4.01777032799995
"20201202_30102534611221-01_P0092 D3 aPD1(250ug-mL)-3_05.RCC",7.78030937717068,4.12105553054116,4.7378173442752,4.49965757519351,5.21667151447589,4.12105553054116,4.85202669234734,4.12105553054116,4.12105553054116
"20201204_30102534581221-01_P0094 IgG 250 D3 1_10.RCC",6.98626982185334,5.44489647792346,6.0298590890464,6.16110357816394,6.18342464214256,5.65990946367,6.22484845264561,5.49552264921295,5.22250412282808
"20201208_30102534591221-01_P0094 D3 7 IFN_04.RCC",7.35661222262105,5.27569216494178,5.86803435335696,5.88268102352984,6.01657401945435,5.20752065389072,6.45028778560468,5.38260739279957,4.86803435335696
"20201208_30102534591221-01_P0094 D3 8 nmc2 100_05.RCC",7.39462963456465,5.85941998739401,6.64920233506182,6.54663262169559,6.61658233844839,5.8347580561207,7.1830619614038,6.0428661959909,5.2247044573611
"20201208_30102534591221-01_P0094 D3 9 nmc2 30_06.RCC",7.44206925631169,5.98716735537387,6.7290990631587,6.62103939542119,6.51966122232604,5.88407378659805,7.42623191647062,5.9620763680269,5.98716735537387
"20201208_30102534591221-01_P0094 D3 10 IgG 250_07.RCC",7.02769512658118,5.47515416178462,5.98330103555565,5.79065593480871,6.05690351721154,5.19275440303362,6.20256703196675,5.02769513763793,5.11258412873296
"20201208_30102534591221-01_P0094 D3 14 PD1 250_11.RCC",7.48893821797332,5.37346098984514,6.22590377358985,6.45146355313326,6.02320632156422,6.03642600989426,6.3236335218381,4.95842358337107,5.48893821797332
"20201209_30102534211221-01_P0094 D3 16 IFN_01.RCC",7.52437049331116,5.4737445131578,6.75385238460813,6.80934746592405,6.7065762665875,6.43897898334975,6.84663020231266,5.54085866917313,5.98831769572701
"20201209_30102534211221-01_P0094 D3 17 nmc2 100_02.RCC",7.70766223876743,5.90796099072935,6.73803586164315,6.4384757554823,6.28176742298577,6.61250509136715,6.76114324216054,5.61250510611104,5.85351317159047
"20201209_30102534211221-01_P0094 D3 18 nmc2 30_03.RCC",7.25594500159078,6.29901372237221,7.11844148161637,6.79651338413333,7.05260926761714,6.85540698441485,7.55829432689453,7.23391862396142,6.60386831175309
"20201209_30102534211221-01_P0094 D3 19 IgG 250_04.RCC",7.07898973449903,5.36679201914597,5.13413126148162,5.42691298304228,5.98546002516269,5.54012366688977,5.94178063354279,5.13413126148162,4.76639952071312
"20201209_30102534211221-01_P0094 D3 23 PD1 250_08.RCC",7.08742836467014,5.9895809013168,6.95110681241372,6.5996344644274,7.01894786787914,5.93805071131441,7.85766398532249,6.44209305012385,6.15669091837212
"20201209_30102534211221-01_P0094 D3 25 IFN_10.RCC",6.94069301495774,5.79313571904068,5.94069300321369,6.19703276357453,6.32331302837402,5.52565557439912,6.80515715785528,5.85823090795938,5.26262107461296
"20201209_30102534211221-01_P0094 D3 26 nmc2 100_11.RCC",7.68960071099671,6.45882047507323,6.33596369193398,6.72675367281422,6.29303331884744,6.5989981811102,6.94179670245672,5.5989981811102,5.9315734326525
"20201209_30102534211221-01_P0094 D3 27 nmc2 30_12.RCC",7.65806925600698,7.16708288978846,7.4811914184581,7.08691254970888,7.14623478678756,6.81561049678706,7.33507329876891,7.00202350419613,6.48119141038367
"20210108_P0090_D0_Control(1).RCC",8.69102005040677,7.61826372337884,6.81917659235191,7.68311498577488,7.24076644024266,7.87576003914788,5.54422142511033,8.00821043646641,6.53287226510026
"20210108_P0090_D0_Control(2).RCC",8.53032834166782,7.17277617365251,6.27711297345233,7.24316555582384,7.09564670733916,7.88427114701305,5.28286547593988,8.05052043842986,6.37441017480725
"20210108_P0090_D0_Control(3).RCC",8.46568733717256,7.52941292153284,6.14375920963854,7.56460237558608,6.45254366727796,7.84777441755922,6.5159853934454,8.9174834416875,5.94445042862068
"20210108_P0090_D3_IFNg_100ngml(1).RCC",7.56604834351135,7.91000273642341,7.99489168233889,7.81980497505105,5.88410564944298,7.77249923366744,8.03218632740782,7.45057106455141,7.81980497505105
"20210108_P0090_D3_IFNg_100ngml(2).RCC",7.25231230263246,8.11029325044698,7.80690111021836,7.0071997743053,7.24095220565415,8.11029325044698,7.87627597593386,7.25231230263246,7.57424022151525
"20210108_P0090_D3_IgG1_100ugml(1).RCC",7.59461642060496,7.65448787797805,6.86172038614774,6.51932826157904,7.13599130155047,6.5448632899482,7.72997423220243,7.85152469426263,7.03390151147381
"20210108_P0090_D3_IgG1_100ugml(2).RCC",7.31613524976303,7.41741861183892,7.41741861183892,6.70470049593573,7.00603271810917,7.08936448095128,7.57184630013196,8.57916963145516,7.05833746257753
"20210108_P0090_D3_IgG1_100ugml(3).RCC",7.61776091873915,7.86287350632409,7.72085451149583,7.56331324687139,5.58337645051267,7.76976411060906,7.03279858695618,8.44783591408334,8.14827563317789
