"","< 25","25 - 50","50 - 100","> 100"
"NM_001330465.1:780",0.863013698630137,0.136986301369863,0,0
"ERCC_00041.1:440",0.863013698630137,0.136986301369863,0,0
"NM_147164.2:1151",0.849315068493151,0.150684931506849,0,0
"NM_001066.2:596",0.849315068493151,0.0821917808219178,0.0684931506849315,0
"NM_012092.3:591",0.849315068493151,0.136986301369863,0.0136986301369863,0
"NM_000759.3:851",0.835616438356164,0.164383561643836,0,0
"NM_006137.6:440",0.835616438356164,0.150684931506849,0.0136986301369863,0
"NM_032962.4:253",0.835616438356164,0.164383561643836,0,0
"NM_000139.3:126",0.835616438356164,0.164383561643836,0,0
"NM_025239.3:235",0.821917808219178,0.164383561643836,0.0136986301369863,0
"NM_181755.2:590",0.821917808219178,0.164383561643836,0.0136986301369863,0
"NM_001765.2:564",0.821917808219178,0.178082191780822,0,0
"NM_001083116.1:631",0.808219178082192,0.191780821917808,0,0
"NM_001161683.1:1693",0.808219178082192,0.178082191780822,0.0136986301369863,0
"NM_002120.3:124",0.808219178082192,0.178082191780822,0.0136986301369863,0
"ERCC_00019.1:140",0.808219178082192,0.191780821917808,0,0
"NM_005044.4:462",0.794520547945205,0.191780821917808,0.0136986301369863,0
"NM_000074.2:1225",0.794520547945205,0.205479452054795,0,0
"NM_003005.3:120",0.794520547945205,0.205479452054795,0,0
"NM_001033667.2:339",0.794520547945205,0.150684931506849,0.0547945205479452,0
"NM_014009.3:1230",0.794520547945205,0.191780821917808,0.0136986301369863,0
"NM_003106.2:151",0.794520547945205,0.178082191780822,0.0273972602739726,0
"NM_002190.2:183",0.794520547945205,0.10958904109589,0.0958904109589041,0
"NM_023068.3:4559",0.794520547945205,0.191780821917808,0.0136986301369863,0
"NM_006871.3:1072",0.794520547945205,0.205479452054795,0,0
"NM_001736.3:546",0.780821917808219,0.219178082191781,0,0
"NM_001335.3:1075",0.767123287671233,0.232876712328767,0,0
"NM_001327.2:285",0.767123287671233,0.0136986301369863,0.0273972602739726,0.191780821917808
"NM_001242.4:326",0.767123287671233,0.219178082191781,0.0136986301369863,0
"NM_023914.2:2350",0.767123287671233,0.219178082191781,0.0136986301369863,0
"NM_031923.3:869",0.753424657534247,0.246575342465753,0,0
"NM_000949.5:990",0.753424657534247,0.178082191780822,0.0410958904109589,0.0273972602739726
"NM_001185176.1:916",0.753424657534247,0.232876712328767,0.0136986301369863,0
"NM_000615.6:1134",0.753424657534247,0.232876712328767,0.0136986301369863,0
"NM_002123.3:384",0.753424657534247,0.123287671232877,0.0136986301369863,0.10958904109589
"NM_019055.5:3080",0.753424657534247,0.232876712328767,0.0136986301369863,0
"NM_001079.3:1175",0.753424657534247,0.246575342465753,0,0
"NM_002192.2:1914",0.753424657534247,0.191780821917808,0.0547945205479452,0
"NM_001775.2:280",0.753424657534247,0.246575342465753,0,0
"NM_002609.3:460",0.753424657534247,0.164383561643836,0.0684931506849315,0.0136986301369863
"XM_011545241.2:1015",0.753424657534247,0.205479452054795,0.0136986301369863,0.0273972602739726
"NM_002226.4:5480",0.73972602739726,0.246575342465753,0.0136986301369863,0
"NM_000300.2:715",0.73972602739726,0.232876712328767,0.0273972602739726,0
"NM_001001523.1:2839",0.73972602739726,0.26027397260274,0,0
"NM_007360.3:522",0.73972602739726,0.219178082191781,0.0410958904109589,0
"NM_033423.3:705",0.73972602739726,0.26027397260274,0,0
"NM_002112.3:1646",0.73972602739726,0.246575342465753,0.0136986301369863,0
"NM_002262.3:393",0.73972602739726,0.232876712328767,0.0273972602739726,0
"NM_000885.5:1019",0.726027397260274,0.0958904109589041,0.123287671232877,0.0547945205479452
"NM_001145648.1:2843",0.726027397260274,0.273972602739726,0,0
"NM_001790.4:1056",0.726027397260274,0.273972602739726,0,0
"NM_000045.3:744",0.726027397260274,0.273972602739726,0,0
"NM_000625.4:1005",0.726027397260274,0.273972602739726,0,0
"NM_002181.2:1693",0.726027397260274,0.273972602739726,0,0
"NM_000577.3:480",0.726027397260274,0.232876712328767,0.0410958904109589,0
"NM_004513.4:1262",0.712328767123288,0.191780821917808,0.0958904109589041,0
"NM_005408.2:129",0.712328767123288,0.273972602739726,0.0136986301369863,0
"NM_002838.4:258",0.712328767123288,0.287671232876712,0,0
"NM_004460.2:236",0.712328767123288,0.246575342465753,0.0410958904109589,0
"NM_006564.1:97",0.712328767123288,0.246575342465753,0.0410958904109589,0
"NM_006419.2:209",0.712328767123288,0.219178082191781,0.0410958904109589,0.0273972602739726
"NM_199168.3:72",0.712328767123288,0.273972602739726,0.0136986301369863,0
"NM_001256252.1:1130",0.698630136986301,0.273972602739726,0.0273972602739726,0
"NM_001079821.2:3335",0.698630136986301,0.219178082191781,0.0821917808219178,0
"NM_001184879.1:1015",0.698630136986301,0.26027397260274,0.0410958904109589,0
"NM_012435.2:681",0.698630136986301,0.26027397260274,0.0410958904109589,0
"NM_000222.2:802",0.698630136986301,0.178082191780822,0.10958904109589,0.0136986301369863
"NM_001870.2:768",0.698630136986301,0.205479452054795,0.0410958904109589,0.0547945205479452
"NM_000545.6:1158",0.684931506849315,0.315068493150685,0,0
"NM_173799.2:1968",0.684931506849315,0.246575342465753,0.0684931506849315,0
"NM_005462.4:338",0.684931506849315,0.178082191780822,0.136986301369863,0
"NM_000878.2:1980",0.684931506849315,0.287671232876712,0.0273972602739726,0
"NM_006737.2:884",0.684931506849315,0.26027397260274,0.0547945205479452,0
